status,merchantId,merchantName,merchantSlug,websiteUrl,finalWebsiteUrl,reasonCodes,candidateSource,candidateScore,candidateUrl,evidence,sha256,width,height,bytes
SAFE,cmta1mrph00u7q8iydrmvmhtt,Crudeshop,crudeshop,https://crudeshop.gr,https://crudeshop.gr/,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,191,"https://static.wixstatic.com/media/f1e7b3_1a6a973606d0442aa204e53dd7ac6d8a~mv2.png/v1/fill/w_430,h_214,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/LOGO%20CRUDE%20BLK.png",OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET,c1702fe5c161fa02475aea39ac5850685a2ea5ae4210191743c40194f4addb83,430,214,6098
SAFE,cmta1kmby00ltq8iyovtwgjv9,Dreamypicnics,dreamypicnics,https://dreamypicnics.gr,https://dreamypicnics.gr/,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,136,"https://static.wixstatic.com/media/24853d_0122e20a8dfe4ca2a524c94f5fd43f58~mv2.png/v1/fill/w_362,h_184,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Black%20on%20transparent_edited.png",OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET,fecb2c25ae62eee48b00846e3e7aa9d28b8e08bd63d69721ff400273f77a41a6,362,184,12162
SAFE,cmtb6v3o2003t3giy697d01nq,Somatherapy,somatherapy,https://somatherapy.gr,https://somatherapy.gr/,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,334,https://somatherapy.gr/wp-content/uploads/2015/05/logo-png-soma-therapy-and-spa-lagonisi-2.png,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET,578f82ebbb9ab27d3fe02e96d48f97cbf27a29da57eb48fb604d1dbadc036dae,290,191,23185
