type,actionId,merchantId,giftCardId,normalizedKey,capability,value,sourceUrl,sourceExcerpt
CREATE_MERCHANT_LOCATION,create-location:cmta1fnl10030q8iyjnfimm6o:e0bafb8728964830bade2d2575cafad8,cmta1fnl10030q8iyjnfimm6o,cmta1fnrb0031q8iyg9sqt1g1,e0bafb8728964830bade2d2575cafad8,,"{""label"":""Niyamas Yoga"",""countryCode"":""GR"",""administrativeArea"":""Αττική"",""city"":""Περιστέρι"",""area"":null,""addressLine"":""Ζήνωνος 51"",""postalCode"":""12133"",""latitude"":38.019682,""longitude"":23.695388}",https://niyamas-yoga.com/contact/,"Διεύθυνση Φυσικού Καταστήματος — Ζήνωνος 51, Τ.Κ. 12133, Περιστέρι, Αθήνα, Ελλάδα"
CREATE_LOCATION_CAPABILITY,create-capability:cmta1fnrb0031q8iyg9sqt1g1:e0bafb8728964830bade2d2575cafad8:REDEEM_IN_STORE,cmta1fnl10030q8iyjnfimm6o,cmta1fnrb0031q8iyg9sqt1g1,e0bafb8728964830bade2d2575cafad8,REDEEM_IN_STORE,,https://niyamas-yoga.com/product/gift-card/,Ηλεκτρονική Δωροκάρτα Gift Card Niyamas για αγορές από το ηλεκτρονικό ή το φυσικό μας κατάστημα Niyamas Yoga.
