"bucket","merchant","title","values","proposedMerchant","reason","websiteUrl","officialUrl"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Kantarzoglou","€150.00 Gift Card","150","Kantarzoglou","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://kantarzoglou.gr","https://www.kantarzoglou.gr/el/my-gift-cards/"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Kikoo","Δωροεπιταγή Kikoo 50€","50","Kikoo","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://kikoo.gr","https://kikoo.gr/"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Krikisbeauty","Gift Card 20€ | https://krikisbeauty.gr/","20","Krikisbeauty","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://krikisbeauty.gr","https://krikisbeauty.gr/shop/gift-card-100e/"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Laloo","Laloo Gift Card 30€","30","Laloo","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://laloo.gr","https://laloo.gr/el/250-gift-cards"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Lamillou","Gift Card 100€ | La Millou","100","Lamillou","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://lamillou.gr","https://lamillou.gr/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD/gift-card-100e/"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Luckytravel","Gift card €100 – €200 - Lucky Travel |","100|200","Luckytravel","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://luckytravel.gr","https://www.luckytravel.gr/product/giftcard/"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Maniashome","ΔΩΡΟΕΠΙΤΑΓΗ €20","20","Maniashome","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://maniashome.gr","https://maniashome.gr/proion/doroepitagi-e10/"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Maralcrafts","Gift Card 50 Euro - Maral Crafts","50","Maralcrafts","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://maralcrafts.gr","https://maralcrafts.gr/product-category/gift-cards/"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Marinospor","Gift Card - Gift Card 100€ - Marinospor","100","Marinospor","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://marinospor.gr","https://marinospor.gr/"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Marketfix","Gift Card Niyamas - Ηλεκτρονική Δωροκάρτα 20€","20","Marketfix","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://marketfix.gr","https://marketfix.gr/"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Megafitness","Megafitness Gift Card 300,00€","300","Megafitness","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://megafitness.gr","https://www.megafitness.gr/en/megafitness-gift-card-300-00%E2%82%AC-104325"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Melispa","Gift Card €30","30","Melispa","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://melispa.gr","https://www.melispa.gr/el/gift-card"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Mgsound","MGsound Gift Card 300€ | Premium Event Gift Card","300","Mgsound","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://mgsound.gr","https://www.mgsound.gr/product/gift-card-300/?srsltid=AfmBOor9zJIGcmlK-272F6SOU8U2UDBV-AfXv09-bRqilRiHpN2U7TDO"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Mikelidis","Δώρα :: Gift Card :: Gift Card 300 €","300","Mikelidis","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://mikelidis.gr","https://www.mikelidis.gr/dora/gift-card/"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Motovinios","ΔΩΡΟΚΑΡΤΑ 100€ Το καλύτερο δώρο για τα αγαπημένα ...","100","Motovinios","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://motovinios.gr","https://www.motovinios.gr/c/giftcard"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Phoskitchenware","GiftCard 100€","100","Phoskitchenware","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://phoskitchenware.gr","https://www.phoskitchenware.gr/en/content/10-giftcards"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Profitstore","ΔωροΕπιταγή - Gift Card αξίας 500€ - ProfitStore","500","Profitstore","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://profitstore.gr","https://profitstore.gr/"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Secretsofbeauty","Δωροκάρτα 300€ | Secrets of Beauty | Θεσσαλονίκη","300","Secretsofbeauty","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://secretsofbeauty.gr","https://secretsofbeauty.gr/doroepitages-spa/dorokarta-300e"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Smaragdasart","E-Δωροκάρτα 200€","200","Smaragdasart","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://smaragdasart.gr","https://smaragdasart.gr/el/card/171-e-gift-card-100-.html"
"AMOUNT_SPECIFIC_BUT_MERCHANT_OK","Stickit","Δωροεπιταγή 10 € - 100 €","10|100","Stickit","Merchant name already looks valid; only the gift-card title/URL may be denomination-specific.","https://stickit.gr","https://stickit.gr/"
