status,merchantId,merchantName,merchantSlug,websiteUrl,finalWebsiteUrl,reasonCodes,candidateSource,candidateScore,candidateUrl,evidence,sha256,width,height,bytes
REVIEW,cmta1hf65008rq8iyfh7t6wpa,Artcolour,artcolour,https://artcolour.gr,https://artcolour.gr/,OPERATOR_CURATED_SOURCE_REJECTED|ASSET_HTTP_403,HEADER_IMAGE,334,https://www.artcolour.gr/wp-content/uploads/2026/01/cropped-ArtColour-Logo-12x3-Art-Supplies-Store.png,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET,,,,
SAFE,cmta1fb6o001wq8iy33a59phq,Babydream,babydream,https://babydream.gr,https://babydream.gr/,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,346,https://babydream.gr/image/catalog/LOGO-test.svg,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET,636ab5ebf8d32938c21fba6ca2777928bd507a9b09cd444991ba35cbc936f056,274,75,56632
REVIEW,cmta1hwv400anq8iyxlzbv2x8,Desenio,desenio,https://desenio.gr,https://desenio.gr/,OPERATOR_CURATED_SOURCE_REJECTED|ASSET_HTTP_429,HEADER_IMAGE,346,https://desenio.gr/_next/static/immutable/media/logo.13n5i0xk0pj1q.svg,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET,,,,
REVIEW,cmtb6uzla00373giydd6wqbju,Optika Liolios,δωροκαρτες,https://optikaliolios.gr,https://optikaliolios.gr/,OPERATOR_CURATED_SOURCE_REJECTED|ASSET_HTTP_403,HEADER_IMAGE,318,https://www.optikaliolios.gr/ui/main/img/optika_liolios_logo_main.webp?id=fee456335a2aeb6af068b08fd39a22b3,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET,,,,
SAFE,cmta4y9p8000csciy38yiy1ff,Δωροκάρτα Beababy e,δωροκαρτα-beababy-e,https://beababy.gr,https://beababy.gr/,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,318,https://beababy.gr/wp-content/uploads/2024/11/beababy-logo-1.png.webp,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET,8dcc22d12fc669f45417031d6b27ada8949f8280fb0e06314fb5ba17f3a355bc,640,229,18300
