status,giftCardId,merchantName,giftCardTitle,categorySlug,score,reason,evidence,candidates,officialUrl,websiteUrl
SAFE,cmtb62p6j001j94iy0wbk6jyl,Send gifts and wishes to your beloved ones,E-Gift card - Send gifts and wishes to your beloved ones,gifts-concept-stores,150,,operator-reviewed-official-metadata:neraidochora.gr,gifts-concept-stores:150,https://www.neraidochora.gr/en-gb/e-gift-card?srsltid,https://neraidochora.gr
SAFE,cmtb62s09001z94iy1ofsp7v6,Serkos,Serkos Gift Card,jewelry-watches,156,,operator-reviewed-official-metadata:serkos.gr | page-excerpt:jewelry | page-excerpt:jewelry-el,jewelry-watches:156 | gaming:76 | home:67,https://www.serkos.gr/en/gift-card?srsltid,https://serkos.gr
SAFE,cmta1l42f00nuq8iy2f3za3fa,Snus Bar,gift card Αρχεία - Snus Bar,tobacco-vaping,150,,operator-reviewed-official-metadata:snus-bar.gr,tobacco-vaping:150,https://snus-bar.gr/,https://snus-bar.gr
SAFE,cmta1jl4p00hkq8iyfg4jho4h,Sunsandclouds,Sunsandclouds Gift Card,kids-baby,150,,operator-reviewed-official-metadata:sunsandclouds.gr,kids-baby:150,https://sunsandclouds.gr/product-category/gift-cards/,https://sunsandclouds.gr
SAFE,cmta1gzur007qq8iy50tthpsi,Tuasolea,Δωροκάρτα με αξία της επιλογής σας,fashion,150,,operator-reviewed-official-metadata:tuasolea.gr,fashion:150,https://tuasolea.gr/cat/dorokarta/,https://tuasolea.gr
SAFE,cmtb77p0o0040dkiyr700iran,Valsamakis,Valsamakis Gift Card,fashion,150,,operator-reviewed-official-metadata:valsamakis.gr,fashion:150,https://valsamakis.gr/name-day-gift-card.html,https://valsamakis.gr
SAFE,cmta5nziq002a54iyxymjif5e,VapeLux,Δωροκάρτα | VapeLux,tobacco-vaping,150,,operator-reviewed-official-metadata:vapelux.gr,tobacco-vaping:150 | beauty:74,https://vapelux.gr/product/gift-card/,https://vapelux.gr
SAFE,cmta5no2o000l54iyn0hww43y,esthai,E-Gift Card - esthai,jewelry-watches,150,,operator-reviewed-official-metadata:esthai.gr,jewelry-watches:150,https://www.esthai.gr/e-gift-card,https://esthai.gr
SAFE,cmta5nqmr000z54iy6mzkfi9o,krokodila,Gift Cards - krokodila,jewelry-watches,153,,operator-reviewed-official-metadata:krokodila.gr | page-excerpt:jewelry,jewelry-watches:153 | home:67 | experiences:62,https://krokodila.gr/collections/gift-cards,https://krokodila.gr
REVIEW,cmta1gcgz005aq8iybkijogn9,Cardlink,Υπηρεσία Διαχείρισης Δωροκάρτας | Cardlink giftcard,,,IDENTITY_OR_PROGRAM_REVIEW_REQUIRED,,automotive:84 | health-medical:84,https://cardlink.gr/giftcard/,https://cardlink.gr
REVIEW,cmta1ipsc00dqq8iyvmd0xco3,Liberal,"Δωροκάρτα ΙΚΕΑ: Tο ιδανικό δώρο για κάθε περίσταση, ...",,,IDENTITY_OR_PROGRAM_REVIEW_REQUIRED,,automotive:84 | jewelry-watches:79,https://liberal.gr/,https://liberal.gr
REVIEW,cmta1j3ad00fiq8iyn7woqbcd,Naftemporiki,"ΔΩΡΟΚΑΡΤΑ ΙΚΕΑ: Tο ιδανικό δώρο για κάθε περίσταση, ...",,,IDENTITY_OR_PROGRAM_REVIEW_REQUIRED,,pharmacy:76 | experiences:62,https://naftemporiki.gr/,https://naftemporiki.gr
REVIEW,cmta1m0uh00req8iycwbgvctn,Printhouse,Εκτύπωση Κάρτα Δώρου Gift Voucher,,,IDENTITY_OR_PROGRAM_REVIEW_REQUIRED,,health-medical:84 | jewelry-watches:79 | hotels:65,https://printhouse.gr/ektyposeis-gia-ksenodokheia/gift-voucher,https://printhouse.gr
REVIEW,cmtb77zm2005jdkiy64jdfokt,Δωροεπιταγές,Δωροεπιταγές – Gift Cards,,,IDENTITY_OR_PROGRAM_REVIEW_REQUIRED,,health-medical:84 | jewelry-watches:79 | books:68 | hotels:68 | restaurants:66,https://blue-print.gr/product/doroepitages-gift-cards/,https://blue-print.gr
