status,merchantId,merchantName,merchantSlug,websiteUrl,finalWebsiteUrl,reasonCodes,candidateSource,candidateScore,candidateUrl,evidence,sha256,width,height,bytes
REVIEW,cmtb7hyti000i04iyexyvbb7e,& Spa Voucherss,and-spa-vouchers,https://divaniapollonhotel.com,https://divaniapollonhotel.com/,DUPLICATE_ASSET_HASH_ACROSS_MERCHANTS,SITE_ICON,81,https://divaniapollonhotel.com/wp-content/uploads/2025/05/fav_120x120.png,link rel=icon,d8cdf498aba1399b4cb05ad8867e6e5ee1c85974ea45d425591f8a8f2334a75b,120,120,5471
ERROR,cmta1mezp00sxq8iygc6o45un,1art,1art,https://1art.gr,,OFFICIAL_WEBSITE_PAGE:PAGE_TIMEOUT,,,,,,,,
NONE,cmtb6udw300003giywjrb4w57,5star Travel,5star-travel,https://5star-travel.gr,https://www.5star-travel.gr/,OFFICIAL_WEBSITE_PAGE:NO_LOGO_CANDIDATE|OFFICIAL_GIFT_CARD_PAGE:NO_LOGO_CANDIDATE,,,,,,,,
NONE,cmta1f03n000mq8iyzxhzrwvc,Adagio,adagio,https://adagio.gr,https://adagio.gr/,OFFICIAL_WEBSITE_PAGE:NO_LOGO_CANDIDATE|OFFICIAL_GIFT_CARD_PAGE:NO_LOGO_CANDIDATE,,,,,,,,
ERROR,cmta1flpz002sq8iyj9fu06aj,Adidas,adidas,https://adidas.gr,,OFFICIAL_WEBSITE_PAGE:PAGE_HTTP_403|OFFICIAL_GIFT_CARD_PAGE:PAGE_HTTP_403,,,,,,,,
REVIEW,cmtb6ueoq00043giye4hg3ri6,Adventure Junkies,90-adventure-junkies,https://adventurejunkies.gr,https://www.adventurejunkies.gr/product/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-90e/,OFFICIAL_WEBSITE_PAGE:NO_AUTO_SAFE_CANDIDATE|OFFICIAL_GIFT_CARD_PAGE:NO_AUTO_SAFE_CANDIDATE,OG_IMAGE,-27,https://adventurejunkies.storage.googleapis.com/wp-content/uploads/2020/06/18154905/GiftCard90.jpg,og:image,,,,
SAFE,cmt79icwc000084iyqmpbd9de,AEGEAN,aegean,https://el.aegeanair.com,https://el.aegeanair.com/,OFFICIAL_WEBSITE_PAGE|HEADER_IMAGE|SAME_SITE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,307,https://el.aegeanair.com/Media/rebranding/Aegean.svg,img:logo__img logo__link Aegean logo,0bcc34187942e3a3127b459285bb109295be8dd1d6ef44ab17e5a3ee09ceceb0,225,46,3773
NONE,cmt8l5oqd00005giycgy0pz6b,Airbnb,airbnb,https://www.airbnb.com,https://www.airbnb.com/,OFFICIAL_WEBSITE_PAGE:NO_LOGO_CANDIDATE|OFFICIAL_GIFT_CARD_PAGE:NO_LOGO_CANDIDATE,,,,,,,,
NONE,cmt8nqtz900000oiy5f4y48na,Amazon,amazon,https://www.amazon.de,https://www.amazon.de/,OFFICIAL_WEBSITE_PAGE:NO_LOGO_CANDIDATE|OFFICIAL_GIFT_CARD_PAGE:NO_LOGO_CANDIDATE,,,,,,,,
REVIEW,cmta1k58l00jvq8iyujdntq2y,Annamariamazaraki,annamariamazaraki,https://annamariamazaraki.gr,https://www.annamariamazaraki.com/el,OFFICIAL_WEBSITE_PAGE:WEBSITE_REDIRECTED_TO_DIFFERENT_DOMAIN,,,,,,,,
