kind,type,actionId,cardId,merchantId,merchantName,title,expected,value,officialUrl,issues,reason,evidence,structuredAmounts,relationCounts
REVIEW,REVIEW,,cmta1fqnv003bq8iy3xbbgzju,cmta1fqg6003aq8iyyqfnhn5v,PNN Nightwear,PNN Nightwear Δωροκάρτα 15€,,,https://pnn-nightwear.gr/product/dorokarta-pnn-nightwear/,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":1,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":1,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1l18300niq8iyfjqu39zb,cmta1l12800nhq8iy7m1jy4ap,Psaltou,Psaltou Gift Card 70€,,,https://www.psaltou.gr/gift-cards,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":1,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":2,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta5ny2d002354iyvhj9mkz0,cmta5nxxp002254iy4fqx9dbp,Smaragdasart,Smaragdas Art E-Δωροκάρτα 200€,,,https://smaragdasart.gr/el/card/171-e-gift-card-100-.html,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":1,""occasions"":0,""sources"":1,""mediaAssets"":0,""clicks"":4,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1jgrc00h2q8iylmuzku7m,cmta1jgl400h1q8iy35u741e6,Sonice,Sonice Δωροεπιταγή 50€,,,https://www.sonice.gr/el/185-gift-cards,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":1,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":2,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1eztn000lq8iyz17iv7nt,cmta1ezmz000kq8iyr2e7ujvq,Sportys,ΔΩΡΟΕΠΙΤΑΓΗ 90 ΕΥΡΩ,,,http://www.sportys.gr/content/12535/%CF%83%CF%84%CE%B5%CE%AF%CE%BB%CF%84%CE%B5-%CE%B4%CF%89%CF%81%CE%BF%CE%B5%CF%80%CE%B9%CF%84%CE%B1%CE%B3%CE%AE-,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":1,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":1,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1jijd00haq8iy0wkujph9,cmta1jidc00h9q8iy2obggbjm,Stickit,Stickit Δωροεπιταγή 10€ – 100€,,,https://www.stickit.gr/el/doroepitages/doroepitagi,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":1,""occasions"":0,""sources"":1,""mediaAssets"":0,""clicks"":5,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1fahw001tq8iy1xha6nv0,cmta1fac7001sq8iyd2v8yrai,Toys and Gifts,100 Χάρισε μια δωροκάρτα 100 ευρώ,,,https://www.toysandgifts.gr/,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":1,""occasions"":0,""sources"":1,""mediaAssets"":0,""clicks"":2,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1gy2c007iq8iysz2lc12v,cmta1gxwr007hq8iydqyoi0d1,Toys Shop,Toys-shop Choice Egift Card 10 TSGC10,,,https://toys-shop.gr/,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":1,""occasions"":0,""sources"":1,""mediaAssets"":0,""clicks"":2,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1jsr800ieq8iywfmnl4tl,cmta1jska00idq8iyoro6mc23,Turritella,Δωροκάρτα 50€ - Turritella,,,https://turritella.gr/giftcards/,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":1,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":3,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1h0ab007sq8iyxev6cx5s,cmta1h047007rq8iyu0fz8xw6,Undergroundshop,GIFTCARD 10 EURO GIFTCARD_1,,,https://undergroundshop.gr/,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":1,""occasions"":0,""sources"":1,""mediaAssets"":0,""clicks"":2,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmtb77pqn0044dkiykqllgm6x,cmtb77pls0043dkiy7d0f0hyj,Vinoteca,Vinoteca Δωροκάρτα 100€,,,https://www.vinoteca.gr/gifts/gift-cards.html,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":1,""occasions"":0,""sources"":1,""mediaAssets"":0,""clicks"":3,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1k33j00jmq8iy7dosx0mg,cmta1k2vw00jlq8iy0gndm22x,Wine24shop,Gift Card 20 euro - Wine24shop,,,https://www.wine24shop.gr/dorokarta-100-euro.el.aspx,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":1,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":2,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1lg2500p6q8iyyuuzs7jr,cmta1lfvh00p5q8iygw2r78qv,Woodyline,Woodyline Δωροκάρτα 200€,,,https://www.woodyline.gr/category/238/dwrokartes.html,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":1,""occasions"":0,""sources"":1,""mediaAssets"":0,""clicks"":2,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1jyv900j4q8iyp2i9pyz5,cmta1jyov00j3q8iy67j6xwig,Yellowstars,YellowStars Δωροκάρτα 20€,,,https://yellowstars.gr/category/dorokarta,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":1,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":1,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1o01w00z2q8iyrp45us19,cmta1nzvg00z1q8iylezj7e09,Yourdigitalcourses,ΔΩΡΟΚΑΡΤΑ 50,,,https://yourdigitalcourses.gr/product/dorokarta-200e/,DENOMINATION_SPECIFIC_URL|TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values. URL gift-card segment contains an explicit currency amount (200). URL remains unchanged until its parent is independently validated.,,,"{""variants"":0,""categories"":1,""occasions"":0,""sources"":1,""mediaAssets"":0,""clicks"":4,""verificationEvents"":1,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1fu97003pq8iyip5e1paw,cmta1fu2m003oq8iy4ozx9tlx,Z-Ergaleia,Δωροκάρτα 300,,,https://www.z-ergaleia.gr/,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":1,""occasions"":0,""sources"":1,""mediaAssets"":0,""clicks"":3,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmtb78e22007gdkiyojyhhg7e,cmtb78dwy007fdkiyd2xzj5l1,Zador,Gift Voucher 100 EUR,,,https://www.zador.gr/en/products/gift-voucher-100-eur,DENOMINATION_SPECIFIC_URL|TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values. URL gift-card segment repeats the title denomination (100). URL remains unchanged until its parent is independently validated.,,,"{""variants"":0,""categories"":1,""occasions"":0,""sources"":1,""mediaAssets"":0,""clicks"":1,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1feu80029q8iy3p7bdse4,cmta1fenw0028q8iy6hk5qrpw,Σκακιστικό Κέντρο Ελλάδος,Σκακιστικό Κέντρο Ελλάδος Δωροεπιταγή 50€,,,https://skakistikokentro.com/shop/doroepitages,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":1,""occasions"":0,""sources"":1,""mediaAssets"":0,""clicks"":6,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
