actionId,locationId,merchantName,city,addressLine,oldLatitude,oldLongitude,reason,newLatitude,newLongitude,sourceUrl
5a333713e60ecfb916aa13950644175560025d0eafdc697e05434347672edb12,cmtmpso360000e4iyeydpxp6v,Agigma,Ρέθυμνο,Mahiton Sholis Chorofilakis 7,0,0,ZERO_SENTINEL,,,https://agigma.gr/
bbcc35f8df2e9787f03906dc548d69d234c83f5346394418b7888203a3a9daf8,cmtmpso6e0001e4iyhxq4ljum,Angels Boutique,Εύοσμος,Tzavella 26,0,0,ZERO_SENTINEL,,,https://www.angels-boutique.gr/
53096eaa2779d7cd4420101cb414af0a34d6e2230125fff2b6d7f1f731c0fcbd,cmtmpsofh0004e4iy4ppwld61,Avgerinospharmacy,Κορωπί,Leoforos Vasileos Konstantinou 138,0,0,ZERO_SENTINEL,,,https://avgerinospharmacy.gr/
5098ca4fd08538651116e8bd360f9ba06c6ef5f59253c89974b9a5a0da0ad5d5,cmtmpsoip0005e4iyncw76wap,Babyvalia,Ίλιον,Αθηνάς 75,0,0,ZERO_SENTINEL,,,https://babyvalia.gr/
874db5857cdcefb4a9c78095de8b35e37368aca65ad08e4cad007fe018f6f0db,cmtmpsoll0006e4iy7vosk5d0,Beautybliss,Γέρακας,13 Εθνικής Αντιστάσεως,0,0,ZERO_SENTINEL,,,https://www.beautybliss.gr/
da701734045c167df1fe2ec779c04811a9ed388a5820d30da50e27c07c37c5cc,cmtmpsooi0007e4iy24lcwuq7,Beautypeak,Καλλιθέα,3 Λυκούργου,0,0,ZERO_SENTINEL,,,https://www.beautypeak.gr/
05e7cf4a29989a95211e04f2a1e06fd0a1d7a3a486dfe905a10a001a001b2227,cmtmpsoum0009e4iy5eim11un,Bloss,Σέρρες,11 Ditikis Thrakis,0,0,ZERO_SENTINEL,,,https://www.bloss.gr/
75907e986cf62880b42ab09a9c1894ed06758857a44468dc4cecb74c22fbf246,cmtmpsoxo000ae4iybrkohxrt,Box Box,Χαϊδάρι,Στρ. Καραϊσκάκη 88,0,0,ZERO_SENTINEL,,,https://box-box.gr/
cffd753e4384ad5bc7a4b9af9021eea981da61d671f9774399d35a919a298fb9,cmtmpsp0k000be4iy4ua924pa,Bwoman,Μέγαρα,Περγάμου 46,0,0,ZERO_SENTINEL,,,https://bwoman.gr/
ac596db93d0f330a87b9f7f8b47ef75e2912e0f7e13c7def3415fb614b011420,cmtmpsp3j000ce4iybcg89g94,Carousel,Άρτα,Νόρμαν 5-7,0,0,ZERO_SENTINEL,,,https://carousel.gr/
76323a4607ebb357796639f90daf9bb8bd2f33d6b1b07d27b1f176c20558b4bc,cmtmpspgd000ge4iyq2is8spx,Despykboutique,Περιστέρι,Εθν. Αντιστάσεως 2,0,0,ZERO_SENTINEL,,,https://despykboutique.gr/
