kind,type,actionId,cardId,merchantId,merchantName,title,expected,value,officialUrl,issues,reason,evidence,structuredAmounts,relationCounts
REVIEW,REVIEW,,cmta1jsr800ieq8iywfmnl4tl,cmta1jska00idq8iyoro6mc23,Turritella,Δωροκάρτα 50€ - Turritella,,,https://turritella.gr/giftcards/,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":0,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":0,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1h0ab007sq8iyxev6cx5s,cmta1h047007rq8iyu0fz8xw6,Undergroundshop,GIFTCARD 10 EURO GIFTCARD_1,,,https://undergroundshop.gr/,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":0,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":0,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmtb77pqn0044dkiykqllgm6x,cmtb77pls0043dkiy7d0f0hyj,Vinoteca,Δωροκάρτα 100,,,https://www.vinoteca.gr/gift-card-100.html,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":0,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":0,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1nyzl00yyq8iy0qetgjxm,cmta1nys900yxq8iye6g35elk,Vinylartclothing,Vinyl gift card 40€,,,https://vinylartclothing.gr/products/gift-card-40,DENOMINATION_SPECIFIC_URL|TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values. URL gift-card segment repeats the title denomination (40). URL remains unchanged until its parent is independently validated.,,,"{""variants"":0,""categories"":0,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":0,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1k33j00jmq8iy7dosx0mg,cmta1k2vw00jlq8iy0gndm22x,Wine24shop,Gift Card 20 euro - Wine24shop,,,https://www.wine24shop.gr/dorokarta-100-euro.el.aspx,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":0,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":0,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1lg2500p6q8iyyuuzs7jr,cmta1lfvh00p5q8iygw2r78qv,Woodyline,GIFT CARD 200?,,,https://woodyline.gr/,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":0,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":0,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1jyv900j4q8iyp2i9pyz5,cmta1jyov00j3q8iy67j6xwig,Yellowstars,Δωροκάρτα 20€ YellowStars,,,https://yellowstars.gr/category/dorokarta,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":0,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":0,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1o01w00z2q8iyrp45us19,cmta1nzvg00z1q8iylezj7e09,Yourdigitalcourses,ΔΩΡΟΚΑΡΤΑ 50,,,https://yourdigitalcourses.gr/product/dorokarta-200e/,DENOMINATION_SPECIFIC_URL|TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values. URL gift-card segment contains an explicit currency amount (200). URL remains unchanged until its parent is independently validated.,,,"{""variants"":0,""categories"":0,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":0,""verificationEvents"":1,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmta1fu97003pq8iyip5e1paw,cmta1fu2m003oq8iy4ozx9tlx,Z-Ergaleia,Δωροκάρτα 300,,,https://www.z-ergaleia.gr/,TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values.,,,"{""variants"":0,""categories"":0,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":0,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
REVIEW,REVIEW,,cmtb78e22007gdkiyojyhhg7e,cmtb78dwy007fdkiyd2xzj5l1,Zador,Gift Voucher 100 EUR,,,https://www.zador.gr/en/products/gift-voucher-100-eur,DENOMINATION_SPECIFIC_URL|TITLE_AMOUNT_NOT_STRUCTURED,Amount-bearing title was not rewritten because at least one denomination is missing from variants/values. URL gift-card segment repeats the title denomination (100). URL remains unchanged until its parent is independently validated.,,,"{""variants"":0,""categories"":0,""occasions"":0,""sources"":0,""mediaAssets"":0,""clicks"":0,""verificationEvents"":0,""reviewFlags"":0,""productionVerificationSnapshots"":0}"
