status,merchantId,merchantName,merchantSlug,websiteUrl,giftCardId,giftCardTitle,officialUrl,reasonCodes,candidateName,candidateScore,candidateSources,homeStatus,giftPageStatus
CANDIDATE,cmta4yjki001gsciyo7tcjy02,Δωροκάρτα από την Harpy Clothing 2026,δωροκαρτα-απο-την-harpy-clothing-2026,https://harpy.gr,cmta4yjz8001hsciydalghjrj,Δωροκάρτα από την Harpy Clothing 2026,https://www.harpy.gr/product/gift-card-by-harpy-clothing/?srsltid=AfmBOoqKglMRpVOaAMYiXy_vbk1xc6D8v8XkOgteCiWFiJwL2yttvJmR,STRONG_OFFICIAL_IDENTITY_CANDIDATE,Account Suspended,155,GIFT_TITLE|HOME_TITLE,200,200
ERROR,cmta4y9p8000csciy38yiy1ff,Δωροκάρτα Beababy e,δωροκαρτα-beababy-e,https://beababy.gr,cmta4y9yz000dsciyapuj6g5h,Δωροκάρτα Beababy e-Gift Card,https://beababy.gr/product/beababy-gift-card/?srsltid=AfmBOopfFsQeCgenqxkxnHcfPEcbgukJfGp75T_-jLt2z7FYIFy6pLE6,HOME_HTTP_403|GIFT_HTTP_403|NO_CLEAN_IDENTITY_CANDIDATE,,,,403,403
CANDIDATE,cmta4yxv60034sciy1eru1cf7,Mytravelgiftcard,mytravelgiftcard,https://mytravelgiftcard.gr,cmta4yy140035sciyg30mvkvh,My Travel Gift Card - Το δώρο που ταξιδεύει τους ...,https://mytravelgiftcard.gr/,STRONG_OFFICIAL_IDENTITY_CANDIDATE,Το δώρο που ταξιδεύει τους αγαπημένους σας!,155,GIFT_TITLE|HOME_TITLE,200,200
