status,merchantId,merchantName,merchantSlug,websiteUrl,finalWebsiteUrl,reasonCodes,candidateSource,candidateScore,candidateUrl,evidence,sha256,width,height,bytes
SAFE,cmtb6udw300003giywjrb4w57,5star Travel,5star-travel,https://5star-travel.gr,https://5star-travel.gr/,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,334,https://www.5star-travel.gr/skn/logo.png,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET,8cfbdbe781f8137e2abd831491de864e01450053b61e77e4f28797729d9fe345,390,190,56207
SAFE,cmta5nlc8000654iynn5wpmru,Athens Green Apartments,athens-green-apartments,https://athensgreen.gr,https://athensgreen.gr/,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,136,https://l.icdbcdn.com/oh/5f9cb68d-70d2-4a3d-b541-f3c4873d5d93.png?w=400,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET,87da1b4049abd9343f3f3dc1997579c5857848a78cdc98bc132ace33ccdb86db,172,115,2449
SAFE,cmta1hn3o009lq8iyhn7qa9mo,Bloss,bloss,https://bloss.gr,https://bloss.gr/,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,209,"https://static.wixstatic.com/media/c2f7dd_63f3b9260ca243e882674a3b9cb5b75c~mv2.png/v1/fill/w_442,h_136,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/BLOSS%20LOGO%20TRANSPARENT%20BACKGROUND.png",OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET,ba957a696c1ac14723f8873878ccd1e2caa7b44214d7990f7aff9b8ecba6df19,442,136,14424
SAFE,cmta1m5mp00rxq8iyvry3zmpd,Cakeshop,cakeshop,https://cakeshop.gr,https://cakeshop.gr/,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,334,https://www.cakeshop.gr/img/logo.png,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET,a0f56cdae3900e1b7bdce457512bdadfaa1e0e7367765c883438e4505d86b9cf,185,125,5161
