status,merchantId,merchantName,merchantSlug,websiteUrl,finalWebsiteUrl,reasonCodes,candidateSource,candidateScore,candidateUrl,evidence,sha256,width,height,bytes
REVIEW,cmta1hren00a1q8iyh9eqqfbk,Cavadelvino,cavadelvino,https://cavadelvino.gr,https://www.cavadelvino.gr/,NO_AUTO_SAFE_CANDIDATE,OG_IMAGE,-45,"https://static.wixstatic.com/media/0f013c_33cd2728ffe64ac9ac03e3b900563c4f%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/0f013c_33cd2728ffe64ac9ac03e3b900563c4f%7Emv2.jpg",og:image,,,,
REVIEW,cmta1hru700a3q8iy6vn9whln,Cavallo,cavallo,https://cavallo.gr,https://www.cavallo.gr/,NO_AUTO_SAFE_CANDIDATE,HEADER_IMAGE,171,https://www.cavallo.gr/wp-content/uploads/2019/08/logocavallo_2018_white-compressor.jpg,img:et_b_header-logo-img site logo,,,,
REVIEW,cmta1lsnr00qhq8iy9ibymzbq,Chicart,chicart,https://chicart.gr,https://www.chicart.gr/,NO_AUTO_SAFE_CANDIDATE,OG_IMAGE,26,http://static1.squarespace.com/static/5f9bcd65525bfb7083f73274/t/5f9f35bc42433c0d8225deae/1604269503064/Logo+for+social.png?format=1500w,og:image,,,,
ERROR,cmta1kkh000llq8iyqh4xpyae,Converse,converse,https://converse.gr,,PAGE_HTTP_403,,,,,,,,
REVIEW,cmta1mrph00u7q8iydrmvmhtt,Crudeshop,crudeshop,https://crudeshop.gr,https://en.crudeshop.gr/,STRONG_CANDIDATE_REJECTED|ASSET_HTTP_404,HEADER_IMAGE,349,https://en.crudeshop.gr/quality_auto/LOGO%20CRUDE%20BLK.png,img:gRkIq0 sFiSiq img_comp-jwrm9c9y apPOZK Crude Logo,,,,
ERROR,cmta1hwv400anq8iyxlzbv2x8,Desenio,desenio,https://desenio.gr,,PAGE_HTTP_429,,,,,,,,
REVIEW,cmta1ewc60008q8iydtjsz5cv,Divani Collection,divani-collection,https://divanis.com,https://divanis.com/,DUPLICATE_ASSET_HASH_ACROSS_MERCHANTS,SITE_ICON,99,https://divanis.com/wp-content/uploads/2025/05/fav_120x120.png,link rel=icon,d8cdf498aba1399b4cb05ad8867e6e5ee1c85974ea45d425591f8a8f2334a75b,120,120,5471
REVIEW,cmta1hxrm00arq8iyhvy95v45,Doctorfish,doctorfish,https://doctorfish.gr,https://www.doctorfish.gr/,STRONG_CANDIDATE_REJECTED|ASSET_HTTP_404,HEADER_IMAGE,279,https://www.doctorfish.gr/quality_auto/71d44c_7c4c92b10844456ba92a5a3ddd5fdd43~mv2.png,img:gRkIq0 sFiSiq img_comp-lu10kz3g apPOZK DOCTOR-FISH-LOGO-2017-white.png,,,,
REVIEW,cmta1kmby00ltq8iyovtwgjv9,Dreamypicnics,dreamypicnics,https://dreamypicnics.gr,https://www.dreamypicnics.gr/,NO_AUTO_SAFE_CANDIDATE,SITE_ICON,-60,https://static.parastorage.com/client/pfavico.ico,link rel=icon,,,,
ERROR,cmta1hzo100azq8iy5b6q7jky,E Jumbo,e-jumbo,https://e-jumbo.gr,,PAGE_HTTP_403,,,,,,,,
