status,merchantId,merchantName,merchantSlug,websiteUrl,finalWebsiteUrl,reasonCodes,candidateSource,candidateScore,candidateUrl,evidence,sha256,width,height,bytes
SAFE,cmta5nklm000254iyykvcbi2u,Atelie,atelie,https://atelie.com.gr,https://atelie.com.gr/,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,318,http://atelie.com.gr/cdn/shop/files/atelie_logo.jpg?height=628&pad_color=ffffff&v=1785954503&width=1200,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET,ced52fa53358ee4f4c57630becb02619771b3a2efd7b4042cdbed81385613d82,1200,628,24438
REVIEW,cmta1mogm00tvq8iye33nmifv,Carlamco,carlamco,https://carlamco.gr,https://carlamco.gr/,OPERATOR_CURATED_SOURCE_REJECTED|NEGATIVE_OR_WHITE_VARIANT,HEADER_IMAGE,154,https://www.carlamco.gr/image/cache/catalog/Carlamco_logo_white_new_1-366x90.png,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET,,,,
REVIEW,cmta1hru700a3q8iy6vn9whln,Cavallo,cavallo,https://cavallo.gr,https://cavallo.gr/,OPERATOR_CURATED_SOURCE_REJECTED|NEGATIVE_OR_WHITE_VARIANT,HEADER_IMAGE,138,https://www.cavallo.gr/wp-content/uploads/2019/08/logocavallo_2018_white-compressor.jpg,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET,,,,
REVIEW,cmtb6upj2001p3giy68izspkm,Gelia Jewelry & Creations,gelia-jewelry-and-creations,https://geliajewelry.gr,https://geliajewelry.gr/,OPERATOR_CURATED_SOURCE_REJECTED|NEGATIVE_OR_WHITE_VARIANT,HEADER_IMAGE,154,https://geliajewelry.gr/cdn/shop/files/Black_White_Minimalist_Calligraphy_Flourish_Designer_Logo_27b877fb-44a4-4f6b-ac11-d3dd14be3216.png?v=1702925296&width=600,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET,,,,
SAFE,cmta1ice000c5q8iyu99sa66p,Haralas,haralas,https://haralas.gr,https://haralas.gr/,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,191,https://static.kalogirou.com/media/logo/websites/2/har_logo_1_1_.png,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET,e2e6756334ef6c3eca8f8ef26c94db54d2cc1adb6c6baf05b3f959d3a7945150,409,64,3995
REVIEW,cmta1imn100dbq8iyn4nhj89a,Kikoo,kikoo,https://kikoo.gr,https://kikoo.gr/,OPERATOR_CURATED_SOURCE_REJECTED|DISALLOWED_ASSET_TOKEN,HEADER_IMAGE,114,https://kikoo.gr/image/cache/catalog/Banners/kikoo_LOGO-300x155.png,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET,,,,
REVIEW,cmta1jlyd00hnq8iyz32uf5a8,T Support,t-support,https://t-support.gr,https://t-support.gr/,OPERATOR_CURATED_SOURCE_REJECTED|IMAGE_DIMENSIONS_TOO_SMALL:16x16,HEADER_IMAGE,279,https://t-support.gr/image/catalog/tsupport.png,OPERATOR_CURATED_FROM_RENDERED_OFFICIAL_PAGE_ASSET,,,,
