kind,status,cardId,merchantId,merchantName,title,expectedUrl,value,reasons,evidence
FINDING,SAFE,cmta1kqbn00maq8iyrbgsvpn7,cmta1kq4t00m9q8iynfm2daqb,Hobbylobby Yarns,Δωροεπιταγή 100,https://www.hobbylobby-yarns.gr/product/doroepitagi-100e/,https://www.hobbylobby-yarns.gr/product-category/doroepitages/,SAME_OFFICIAL_DOMAIN|GENERAL_GIFT_PAGE|MULTIPLE_GIFT_CARD_OPTIONS,[object Object]
FINDING,REVIEW,cmtb78fkx007odkiylrl8o7it,cmtb78ffp007ndkiyn4woc6vx,Hobbywood,ΔΩΡΟΚΑΡΤΑ 100€,https://www.hobbywood.gr/GIFTCARD100,https://www.hobbywood.gr/giftcard10,MULTIPLE_SAFE_GENERAL_URLS,[object Object]|[object Object]
FINDING,SAFE,cmtb779he001rdkiycol4bpk0,cmtb779c5001qdkiy6oykrbp5,Ioannou Cosmetics,Δωροκάρτα 50,https://www.ioannou-cosmetics.gr/shop/dwrokartes/dwrokarta-50-e/,https://www.ioannou-cosmetics.gr/c/dwrokartes/,SAME_OFFICIAL_DOMAIN|GENERAL_GIFT_PAGE|MULTIPLE_GIFT_CARD_OPTIONS,[object Object]
FINDING,REVIEW,cmta1ilzk00d8q8iy2h8zeglu,cmta1iltx00d7q8iyerhiz1p8,Kazi,Gift Card 80,https://kazi.gr/gift-card-519380-1.html,,NO_VALIDATED_GENERAL_GIFT_URL,
FINDING,REVIEW,cmta1n9za00w8q8iy7ywbxcsm,cmta1n9sv00w7q8iypja3wgnv,Krikisbeauty,Gift Card 20€ | https://krikisbeauty.gr/,https://krikisbeauty.gr/shop/gift-card-100e/,,NO_VALIDATED_GENERAL_GIFT_URL,
FINDING,SAFE,cmta1inkb00dgq8iyu0pfa6d9,cmta1ineu00dfq8iyw5mpx7lq,Lamillou,Gift Card 100€ | La Millou,https://lamillou.gr/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD/gift-card-100e/,https://lamillou.gr/shop/dorokartes/,SAME_OFFICIAL_DOMAIN|GENERAL_GIFT_PAGE|MULTIPLE_GIFT_CARD_OPTIONS,[object Object]
FINDING,REVIEW,cmta1itdc00e8q8iy8qkpk1e1,cmta1it7x00e7q8iyoinm2cbt,Materiaprima,Δωροκάρτα 70 - materiaprima,https://materiaprima.gr/product/gift-card-40e/,https://materiaprima.gr/specials/dorokartes/,MULTIPLE_SAFE_GENERAL_URLS,[object Object]|[object Object]|[object Object]
FINDING,REVIEW,cmta4ytua002nsciye5jdpjc2,cmta4yto2002msciy14cp15ty,Megafitness,"Megafitness Gift Card 300,00€",https://www.megafitness.gr/en/megafitness-gift-card-300-00%E2%82%AC-104325,,NO_VALIDATED_GENERAL_GIFT_URL,
FINDING,SAFE,cmtb77c840025dkiy8nltursd,cmtb77c2z0024dkiyyehncw02,Melissinos Sandals,Gift Voucher - 55,http://www.melissinos-sandals.gr/giftvouchers/gift-card-55-detail,http://www.melissinos-sandals.gr/giftvouchers,SAME_OFFICIAL_DOMAIN|GENERAL_GIFT_PAGE|MULTIPLE_GIFT_CARD_OPTIONS,[object Object]|[object Object]
FINDING,ERROR,cmta4yuag002psciyoexjru1o,cmta4yu3q002osciyu5jetmw1,Mgsound,MGsound Gift Card 300€ | Premium Event Gift Card,https://www.mgsound.gr/product/gift-card-300/?srsltid=AfmBOor9zJIGcmlK-272F6SOU8U2UDBV-AfXv09-bRqilRiHpN2U7TDO,,CURRENT_PAGE_TIMEOUT,
