status,giftCardId,merchantName,giftCardTitle,merchantDomain,categorySlug,score,reason,evidence
SAFE,cmta1nn9k00xoq8iyzh4ts5tj,Pret A Beaute,Gift Card | Gift certificate,pret-a-beaute.gr,beauty,125,,operator-curated-exact-domain:pret-a-beaute.gr
SAFE,cmta1nouh00xuq8iyjwmt7jy4,Revitalash,Gift Card – RevitaLash Greece,revitalash.gr,beauty,125,,operator-curated-exact-domain:revitalash.gr
SAFE,cmta1npuk00xyq8iy9rv2fnaj,Santi,Gift Card - Δωροκάρτα – Εναλλακτικές Θεραπείες,santi.gr,spa-wellness,125,,operator-curated-exact-domain:santi.gr
SAFE,cmta1nrye00y6q8iyh18c4c35,Skinpositive,Skinpositive Gift Card,skinpositive.gr,beauty,125,,operator-curated-exact-domain:skinpositive.gr
SAFE,cmta1nsj400y8q8iyugbq8r49,Skinu,Skinu Gift Card,skinu.gr,beauty,125,,operator-curated-exact-domain:skinu.gr
SAFE,cmta1nv6k00yiq8iyyvpip6na,Symmetria,Gift Cards - SYMMETRIA,symmetria.gr,spa-wellness,125,,operator-curated-exact-domain:symmetria.gr
SAFE,cmta1nvns00ykq8iyonflkr96,Tea Pot,Gift Card Αρχεία - Teapot,tea-pot.gr,food-delivery,125,,operator-curated-exact-domain:tea-pot.gr
SAFE,cmta1nxyl00yuq8iy89u0st0s,Trollbeads,Trollbeads Gift Card,trollbeads.gr,jewelry-watches,125,,operator-curated-exact-domain:trollbeads.gr
SAFE,cmta1nyzl00yyq8iy0qetgjxm,Vinylartclothing,Vinyl gift card 40€,vinylartclothing.gr,fashion,125,,operator-curated-exact-domain:vinylartclothing.gr
SAFE,cmta1nzkc00z0q8iyqtq6gzps,Wallpaperstore,Gift cards - WallPaperStore,wallpaperstore.gr,home,125,,operator-curated-exact-domain:wallpaperstore.gr
SAFE,cmta4yv84002tsciyjas302lw,Moonboon,Gift Card for Moonboon - For the New/Soon-to-Be Parents,moonboon.gr,kids-baby,125,,operator-curated-exact-domain:moonboon.gr
SAFE,cmta4z09e003fsciy54qp8l7j,Rideonline,GIFT CARD - rideonline bmx streetwear,rideonline.gr,sports,125,,operator-curated-exact-domain:rideonline.gr
SAFE,cmta4z30z003rsciyrl03a9ai,Simplygreen,Gift Card - Δωροκάρτα Αρχεία - Simply Green | Στρώματα γιόγκα,simplygreen.gr,sports,125,,operator-curated-exact-domain:simplygreen.gr
SAFE,cmta4z4qr003xsciyykm8w59d,Tailor Made Knitwear,Tailor Made Knitwear Gift Card,tailormadeknitwear.com.gr,fashion,125,,operator-curated-exact-domain:tailormadeknitwear.com.gr
SAFE,cmta5nl44000554iylrg3qski,Museumofillusions,Buy a gift card | Museum of Illusions Athens,museumofillusions.gr,experiences,125,,operator-curated-exact-domain:museumofillusions.gr
SAFE,cmta5nvi5001p54iyc6wox7hx,Neraw,Neraw Digital Gift Card | Planted Ceramic Sculpture,neraw.gr,home,125,,operator-curated-exact-domain:neraw.gr
