bucket,reason,merchantName,expectedTitle,expectedOfficialUrl,finalUrl,httpStatus,pageTitle,h1,semanticUrl,semanticTitle,semanticH1,semanticBody,visiblePurchaseSignal,structuredCommerceSignal,expectedAmount,expectedAmountFound,badRole
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Active Fashion","Active Fashion Gift Card","https://active-fashion.gr/gift-cards/","https://active-fashion.gr/gift-cards/","200","active-fashion.gr | Θεσσαλονίκη","Καλημέρα κόσμε!","true","false","false","true","true","false","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Aetherjewelry","Aetherjewelry Gift Card","https://aetherjewelry.gr/gift-cards/","https://aetherjewelry.gr/gift-cards/","200","Αιθηρ","","true","false","false","true","true","false","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Agathou","Agathou Beauty & Spa Δωροεπιταγή 70€","https://www.agathou.gr/product-category/%ce%b4%cf%89%cf%81%ce%bf%ce%ba%ce%b1%cf%81%cf%84%ce%b5%cf%83/","https://www.agathou.gr/product-category/%ce%b4%cf%89%cf%81%ce%bf%ce%ba%ce%b1%cf%81%cf%84%ce%b5%cf%83/","200","ΔΩΡΟΚΑΡΤΕΣ - Agathou Beauty & Spa","ΔΩΡΟΚΑΡΤΕΣ","true","true","true","true","true","false","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Alhammam","Δωροκάρτα","https://alhammam.gr/gift-cards/","https://alhammam.gr/gift-cards/","200","Hammam Traditional Baths – Al Hammam Athens & Crete","","true","false","false","true","false","true","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Ame30","Gift Card - ame30 - Ανδρικά ρούχα, παπούτσια και αξεσουάρ","https://ame30.gr/gift-cards/","https://ame30.gr/gift-cards/","200","ame30 – Ανδρικά ρούχα, παπούτσια και αξεσουάρ","","true","false","false","true","true","true","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Army Market","Army Market Gift Card","https://army-market.gr/gift-card","https://army-market.gr/gift-card","200","Army-Market","","true","false","false","true","true","false","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","AstronGameClub","AstronGameClub Gift Card","https://www.astrongameclub.gr/gift-card/","https://www.astrongameclub.gr/gift-card/","200","Δωροκάρτα - AstronGameClub","Δωροκάρτα","true","true","true","true","true","true","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Babybean","Δωροκάρτα - Babybean - BabyBean.gr by Ammos & Gyali","https://babybean.gr/product/gift-card/","https://babybean.gr/product/gift-card/","200","Δωροκάρτα - Babybean - BabyBean.gr by Ammos & Gyali","Δωροκάρτα – Babybean","true","true","true","true","true","true","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Batterypark","ΔΩΡΟΕΠΙΤΑΓΗ - batterypark.gr","https://batterypark.gr/el/gift-cards","https://batterypark.gr/el/gift-cards","200","ΔΩΡΟΕΠΙΤΑΓΗ","ΔΩΡΟΕΠΙΤΑΓΗ","true","true","true","true","true","true","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Bbq","BBQ.gr Δωροκάρτα","https://bbq.gr/gift-cards","https://bbq.gr/gift-cards","200","ΔΩΡΟΚΑΡΤΕΣ","ΔΩΡΟΚΑΡΤΕΣ","true","true","true","true","true","true","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Blackroll","Gift Card - Blackroll.gr","https://blackroll.gr/products/gift-card","https://blackroll.gr/products/gift-card","200","Δωροκάρτα BLACKROLL® - το ιδανικό δώρο | BLACKROLL® &ndash; Blackroll.gr","Δωροκάρτα","true","true","true","true","true","true","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Bloss","Gift Card | Bloss Fashion e-Shop","https://www.bloss.gr/gift-card","https://www.bloss.gr/gift-card","200","Gift Card | Bloss Fashion e-Shop","eGift Card","true","true","true","true","true","true","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Bonsai Home","Bonsai Home Δωροκάρτα 10€","https://bonsaihome.gr/%ce%b4%cf%89%cf%81%ce%bf%ce%ba%ce%b1%cf%81%cf%84%ce%b1/","https://bonsaihome.gr/%ce%b4%cf%89%cf%81%ce%bf%ce%ba%ce%b1%cf%81%cf%84%ce%b1/","200","ΔΩΡΟΚΑΡΤΑ - Bonsai Home","ΔΩΡΟΚΑΡΤΑ","true","true","true","true","true","false","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Bylia","Ηλεκτρονική Δωροκάρτα","https://www.bylia.gr/product/e-gift-card/","https://www.bylia.gr/product/e-gift-card/","200","Ηλεκτρονική Δωροκάρτα - Bylia - Μικρές Ιστορίες By Lia","Bylia – Μικρές Ιστορίες By Lia","true","true","false","true","true","true","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Bymeraki","Δωροκάρτα","https://bymeraki.gr/product-category/wps_wgm_giftcard/","https://bymeraki.gr/product-category/wps_wgm_giftcard/","200","Δωροκάρτα","","true","true","false","true","true","true","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Cakeshop","Δωροκάρτα | Cakeshop Thessaloniki","https://www.cakeshop.gr/gift-card/dorokarta","https://www.cakeshop.gr/gift-card/dorokarta","200","Δωροκάρτα | Cakeshop Thessaloniki","Δωροκάρτα","true","true","true","true","true","true","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Cameoshatter","Δωροκάρτα","https://cameoshatter.gr/product/gift-card/","https://cameoshatter.gr/product/gift-card/","200","Δωροκάρτα - Cameos hatter","Δωροκάρτα","true","true","true","true","true","true","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Celesteshop","Celeste Gift Card","https://celesteshop.gr/c/dwrokarta/","https://celesteshop.gr/c/dwrokarta/","200","Δωροκάρτα - CelesteShop","Δωροκάρτα","true","true","true","true","true","true","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Chicbee","Chicbee Δωροκάρτα 20€","https://chicbee.gr/product-category/dorokartes/","https://chicbee.gr/product-category/dorokartes/","200","Δωροκάρτες - ChicBee","","true","true","false","true","true","true","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Cigarsmoke","Gift Card Αρχεία","https://cigarsmoke.gr/el/gift-cards/","https://cigarsmoke.gr/el/gift-cards/","200","CigarSmoke","Blog","true","false","false","true","true","false","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Climber","Giftcard - Climber","https://www.climber.gr/product/dorokarta/","https://www.climber.gr/product/dorokarta/","200","Δωροκάρτα","Δωροκάρτα","true","true","true","true","true","true","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Constancejewelry","Δωροκάρτα - Constance Jewlery","https://constancejewelry.gr/shop/khoris-kategoria/dorokarta/","https://constancejewelry.gr/shop/khoris-kategoria/dorokarta/","200","Δωροκάρτα - Constance Jewlery","Δωροκάρτα","true","true","true","true","true","true","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Cookworld","Gift Cards","https://www.cookworld.gr/module/kbgiftcard/giftcards","https://www.cookworld.gr/module/kbgiftcard/giftcards","200","Cookworld Οικολογικά Σκεύη και Εργαλεία μαγειρικής | Δωροκάρτες","","true","true","false","true","true","false","","false","false"
"AUTO_SAFE","HTTP_OK_SAME_DOMAIN_STRONG_GIFT_CARD_SEMANTICS_AND_COMMERCE_EVIDENCE","Cre T E","Κατηγορία: δωροκάρτα","https://cre-t-e.gr/product-category/jewelry/gift-card-jewelry/","https://cre-t-e.gr/product-category/jewelry/gift-card-jewelry/","200","Κατηγορία: δωροκάρτα &#x2d; Cre.t.e","δωροκάρτα","true","true","true","true","true","true","","false","false"
