cluster_type,key,discovery_count,duplicate_excess,production_match,production_name,production_id,keep_candidate_id,merchant_names,source_names,discovery_ids,statuses,reason
EXACT_DOMAIN,kouponia365.gr,12,11,NO,,,cmt9rr2yh000hzkiyraoi1fit,Carpetlinen | New Cult | Theros Jewels | ΙΑΝΟΣ | Battery Park | SportsPoint | Netflix | FunkyBuddha | La Millou | E-string | Myikona | Laura Ashley,Kouponia365 Gift Cards,cmt9rr2yh000hzkiyraoi1fit | cmt9s0kgj0004kciyu047mn2y | cmt9s0kkc0005kciyksogqosl | cmt9s0ko60006kciyy7h7gxow | cmt9s0krs0007kciyj5q804us | cmt9s0l9c000ckciywpza87j6 | cmt9s0lgd000ekciyoosn3o07 | cmt9s0ln2000gkciyl4fp05qv | cmt9s0lr3000hkciyomsgk1jf | cmt9s0lxv000jkciyvvmxc54c | cmt9s0m13000kkciy9c0mt2b7 | cmt9s0m5d000lkciylz9pbo56,QUEUED,Multiple DiscoveryItems share the same normalized domain
SINGLE_VS_PRODUCTION,feverup.com,1,1,YES,Fever,cmt8moqyw00005ciya9p7bsf8,,Fever,Official Site Discovery v3,cmt8lyb9a000gxwiyc6bk25x3,VERIFIED,DiscoveryItem normalized merchant name already exists in production
SINGLE_VS_PRODUCTION,giftcard.puma.com,1,1,YES,Puma Greece,cmt8hesrb000fa8iycuggb6wc,,Puma Greece,Rediscovery Engine,cmt9s1r0x0001zwiy70slm5y0,QUEUED,DiscoveryItem normalized merchant name already exists in production
