action,domain,keep_id,duplicate_id,duplicate_name,production_id,production_name,source_name,reason
MARK_DUPLICATE_PRODUCTION,accessfashion.gr,,cmt8ngudr00055kiyuupouj0y,Access Fashion,cmt8o9l84000030iymso77cud,Access Fashion,Official Site Discovery v3,Explicit possibleOfficialUrl domain already exists in production
MARK_DUPLICATE_DISCOVERY,adagio.gr,cmt8pnu450002zsiyex4bvjx6,cmt8pnxwi0014zsiywejjs18o,Adagio,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,adagio.gr,cmt8pnu450002zsiyex4bvjx6,cmt8po2fc002ezsiyexh2owsw,Adagio,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,adagio.gr,cmt8pnu450002zsiyex4bvjx6,cmt8po6jz003kzsiyb40u88jn,Adagio,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,adidas.gr,cmt8pnz8e001izsiyitmhq48b,cmt8po3pq002rzsiy3x2n65sc,Adidas,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,adidas.gr,cmt8pnz8e001izsiyitmhq48b,cmt8po7qv003wzsiykgfcd8ds,Adidas,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,adidas.gr,cmt8pnz8e001izsiyitmhq48b,cmt8poavx004rzsiyxh2j8cul,Adidas,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,adidas.gr,cmt8pnz8e001izsiyitmhq48b,cmt8pocz9005czsiyhzavg3ka,Adidas,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,adidas.gr,cmt8pnz8e001izsiyitmhq48b,cmt8poeid005szsiyg17ygvqp,Adidas,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,adidas.gr,cmt8pnz8e001izsiyitmhq48b,cmt8pofdl0061zsiyu6n8s4ao,Adidas,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,adidas.gr,cmt8pnz8e001izsiyitmhq48b,cmt8pog5k0069zsiy60m6df58,Adidas,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,adidas.gr,cmt8pnz8e001izsiyitmhq48b,cmt8pogq3006fzsiy19nx8m5k,Adidas,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,adidas.gr,cmt8pnz8e001izsiyitmhq48b,cmt8poh70006kzsiylatrteog,Adidas,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,adidas.gr,cmt8pnz8e001izsiyitmhq48b,cmt8pohh0006nzsiyowy2bwtz,Adidas,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,adidas.gr,cmt8pnz8e001izsiyitmhq48b,cmt8pohrm006qzsiy2zb2joxm,Adidas,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,adidas.gr,cmt8pnz8e001izsiyitmhq48b,cmt8pohxj006szsiyok7ewgg6,Adidas,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,adidas.gr,cmt8pnz8e001izsiyitmhq48b,cmt8poi47006uzsiymk0vsr2g,Adidas,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,adidas.gr,cmt8pnz8e001izsiyitmhq48b,cmt8poib2006wzsiytvxsqh9a,Adidas,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
MARK_DUPLICATE_DISCOVERY,adidas.gr,cmt8pnz8e001izsiyitmhq48b,cmt8poiej006xzsiy1aiqiy0u,Adidas,,,BestPrice Prepaid Cards,Same explicit possibleOfficialUrl domain as keeper
