type,confidence,left_id,left_name,left_domain,right_id,right_name,right_domain,reason
DISCOVERY_VS_PRODUCTION,100,cmt8ngudr00055kiyuupouj0y,Access Fashion,accessfashion.gr,cmt8o9l84000030iymso77cud,Access Fashion,accessfashion.gr,Exact domain already exists in production
DISCOVERY_EXACT_DOMAIN,100,cmt8pnu450002zsiyex4bvjx6,Adagio,adagio.gr,cmt8pnxwi0014zsiywejjs18o,Adagio,adagio.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnu450002zsiyex4bvjx6,Adagio,adagio.gr,cmt8po2fc002ezsiyexh2owsw,Adagio,adagio.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnu450002zsiyex4bvjx6,Adagio,adagio.gr,cmt8po6jz003kzsiyb40u88jn,Adagio,adagio.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8po3pq002rzsiy3x2n65sc,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8po7qv003wzsiykgfcd8ds,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8poavx004rzsiyxh2j8cul,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8pocz9005czsiyhzavg3ka,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8poeid005szsiyg17ygvqp,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8pofdl0061zsiyu6n8s4ao,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8pog5k0069zsiy60m6df58,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8pogq3006fzsiy19nx8m5k,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8poh70006kzsiylatrteog,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8pohh0006nzsiyowy2bwtz,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8pohrm006qzsiy2zb2joxm,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8pohxj006szsiyok7ewgg6,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8poi47006uzsiymk0vsr2g,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8poib2006wzsiytvxsqh9a,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8poiej006xzsiy1aiqiy0u,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8poihz006yzsiyhzatzalp,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8poill006zzsiygq5adllg,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8poiph0070zsiyh1pz1l2f,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8poisu0071zsiyvscfk3fu,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8poivp0072zsiylfjnz8r3,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8poizd0073zsiy56bh641b,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8poj2i0074zsiyl5s31092,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8poj660075zsiyh3hb2w6z,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8poj9b0076zsiy6o9pihmg,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8pojcu0077zsiy33127j8k,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8pojgi0078zsiyi997hc7n,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8pojkb0079zsiyfhhwfomc,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8pojnc007azsiy0pu3se4t,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8pojqv007bzsiy02pv7unk,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8pojub007czsiymyz0106s,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8pojxc007dzsiyzfjkokbz,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8pok11007ezsiyzh2otg8u,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8pok4x007fzsiy7xj8puzc,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8pok8r007gzsiy84uhzm3i,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8pokce007hzsiy5ewlag7x,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8pokg1007izsiy2z4zu0ew,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8pokjp007jzsiy34jhn397,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8poknc007kzsiy3t2rgxwv,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8pokqx007lzsiywews6c2p,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8pokuc007mzsiy8th3wf8j,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8pokxy007nzsiyg0njbpkm,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8pol20007ozsiy5gmc3woy,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8pol58007pzsiyash57cko,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
DISCOVERY_EXACT_DOMAIN,100,cmt8pnz8e001izsiyitmhq48b,Adidas,adidas.gr,cmt8pol8k007qzsiyrt0zro27,Adidas,adidas.gr,Same normalized domain in DiscoveryItems
