score,domain,merchant_name,possible_official_url,title,snippet,query,occurrences,source_files,discovery_statuses,result_bucket,result_reason
100,ailanajewelry.com,AILANA JEWELRY GIFT VOUCHER,https://ailanajewelry.com/en-fr/products/gift-voucher-ailana-jewelry?srsltid=AfmBOopxmGJ6iWeKOzeugsnZdF2Qsy8v7W0vXzDgCdCGmJafwykovSDy,AILANA JEWELRY GIFT VOUCHER,AILANA JEWELRY GIFT VOUCHER ... Tax included. Shipping calculated at checkout. Denominations. 20.00 € 40.00 € 60.00 ...,"""jewelry"" ""gift voucher"" Greece",5,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card
100,aladastra.com,Aladastra,https://aladastra.com/gift-bundles/e-gift-cards.html,E-Gift Cards - Aladastra Yoga & Wellness Lifestyle,... €50 E-Gift Card. (). €50.00. wishlist Add to Cart ... Athens (VISIT BY APPOINTMENT). OUR STORY. ABOUT US · OUR PHILOSOPHY.,"""Athens"" ""yoga"" ""gift card""",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card
80,alchemist-aromas.com,Perfume Gift Voucher - Experience Alchemist Aromas® Luxury ...,https://alchemist-aromas.com/en/products/alchemist-aromas-gutschein?srsltid=AfmBOoq15V9pfK6fTtbAAS0BhZ_5WoYHEHAszlO9VFH7Xcc83i9njZSc,Perfume Gift Voucher - Experience Alchemist Aromas® Luxury ...,Gift the magic of scent with Alchemist Aromas®'s perfume gift voucher. Perfect for exploring exquisite fragrances for everyone ... Greece EUR €; Hungary HUF Ft ...,"""perfume"" ""gift voucher"" Greece",6,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card
85,aleboutique.gr,Δωροκάρτα - Aleboutique.gr,https://aleboutique.gr/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-aleboutique,Δωροκάρτα - Aleboutique.gr,Αγοράστε μία Δωροκάρτα αξίας από 10€ έως 200€ | Το Aleboutique.gr σου ... BAGS · SHOULDER BAGS · STRAW BAGS · CLUTCH BAGS · PHONE BAGS · BACKPACK · WALLETS ...,"""bags"" ""δωροκάρτα"" Greece",8,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,greek_brand_coherent_direct_gift_card
85,alfafood.gr,Αγοράστε μία Δωροεπιταγή - ALFA FOOD,https://www.alfafood.gr/index.php?route,Αγοράστε μία Δωροεπιταγή - ALFA FOOD,Αγοράστε μία Δωροεπιταγή ... Αυτή η δωροεπιταγή θα αποσταλεί μέ e-mail στον παραλήπτη αφού ολοκληρωθεί ή πληρωμή σας. Όνομα παραλήπτη. E-mail παραλήπτη.,"site:.gr ""food"" ""δωροεπιταγή""",2,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv,,SECOND_PASS_SAFE,greek_brand_coherent_direct_gift_card
80,alhimistisbags.gr,Alhimistis Bags,https://alhimistisbags.gr/product/dwroepitagh-alhimistis-bags/?srsltid,Δωροεπιταγή Alhimistis Bags,"Δωροεπιταγή Alhimistis Bags. 50,00 € ; From: To: ; Θα μας βρείτε. Διεύθυνση καταστήματος: Λεωφ. Ελευθερίου Βενιζέλου 57 (Πανεπιστημίου 57) Τ.Κ. 10564, Αθήνα. E- ...","site:.gr ""bags"" ""δωροεπιταγή""",2,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv,,SECOND_PASS_SAFE,greek_brand_coherent_direct_gift_card
100,alisahne.com,Gift Card | ALISAHNE Resort Collection,https://alisahne.com/en/product/gift-card/,Gift Card | ALISAHNE Resort Collection,HomeGift cardGift Card. gift-card-n. Gift Card. Shipping Worldwide; Free ... Close submenu (Resort Wear)Resort Wear. Dresses · Jumpsuits – Playsuits · Kaftans ...,"""resort"" ""gift card"" Greece",5,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card
100,all.accor.com,The Perfect Present: The ALL Accor Gift Card,https://all.accor.com/a/en/experiences/all-gift-card.html,The Perfect Present: The ALL Accor Gift Card,An extended seaside escape in Crete. ALL ... Any bookings paid in advance will be refunded at the hotel and your gift voucher will be used as payment.,"""Crete"" ""hotel"" ""gift voucher""",6,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card
80,ananne.com,Gift voucher for high-quality active ingredient cosmetics | ananné,https://ananne.com/en/products/geschenkgutschein?srsltid=AfmBOorDe79bxQ6MC3h1MDJA4V0Sr1-YBEd_EAgZ6pzO3IAPIsH_GtRq,Gift voucher for high-quality active ingredient cosmetics | ananné,Gift voucher ananné | Gift voucher to print yourself ➢ natural cosmetics ✓ alcohol-free ✓ plastic-free ✓ cruelty-free ✓ last minute gift | discover ...,"""cosmetics"" ""gift voucher"" Greece",6,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card
80,angelopouloshair.gr,Gift Card | AngelopoulosHair,https://www.angelopouloshair.gr/en/dorokartes?srsltid=AfmBOopSrCMnfE7kswjWktDCrTT6aSFoi5VjZx_G2eM9i0Hu-h69_FoG,Gift Card | AngelopoulosHair,Barber Chairs · Pets · Barber Corner. Back; View all products · Mens Cologne · Shampoo ... Gift Card. gift-first. MAKE A NICE GIFT. gift-sect-one. Give a gift ...,"""barber"" ""gift card"" Greece",6,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,greek_brand_coherent_direct_gift_card
