score,domain,merchant_name,possible_official_url,title,snippet,query,occurrences,source_files,discovery_statuses,result_bucket,result_reason
100,becharge.be,Online sales of gift cards - The pleasure of giving,https://www.becharge.be/be-en/giftcards?srsltid=AfmBOooKsPL4clc_zYLe05QfGMg-kTFAyVLZoEZHoVHw71TbNecR-NWv,Online sales of gift cards - The pleasure of giving,Apple Gift Card beCHARGE Giftcard Bol ... Holland & Barrett Belgium ...,"""Belgium"" retail ""gift card"" official",1,data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,known_false_positive_or_reseller
100,bitmama.io,Types of Gift Cards in Italy 2023,https://bitmama.io/blog/types-of-gift-cards-in-italy,Types of Gift Cards in Italy 2023,"Conad Gift Card. Conad is one of the biggest grocery stores in Italy – somewhat of a Walmart equivalent in the United States. Therefore, it's ...","""Italy"" retail ""gift card"" official",1,data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,known_false_positive_or_reseller
100,bitrefill.com,Buy Cosmetics Gift Cards in Greece with Bitcoin or Crypto,https://www.bitrefill.com/gr/en/gift-cards/cosmetics/,Buy Cosmetics Gift Cards in Greece with Bitcoin or Crypto,"Bitrefill (Greece) ... Cosmetics. GR Works in GR. Sort By. Online/In-store ... Some great gift cards that people usually buy are: Douglas gift card, Sephora gift ...","""cosmetics"" ""gift card"" Greece",1,data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,known_false_positive_or_reseller
100,blackhawknetwork.com,Global Hotel Card by Expedia Gift Card,https://blackhawknetwork.com/gift-cards/global-hotel-card-by-expedia-gift-card,Global Hotel Card by Expedia Gift Card,... Germany (German) · Hong Kong (English) · Indonesia (English) · Indonesia ... Hotel Card by Expedia Gift Card. Image. Global Hotel Card Powered by Expedia Gift ...,"""Germany"" hotel ""gift card"" official",1,data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,known_false_positive_or_reseller
80,blog.enafood.gr,Δωροκάρτα και Κουπόνι Προσφοράς Archives - ENABLOG,https://blog.enafood.gr/tag/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-%CE%BA%CE%B1%CE%B9-%CE%BA%CE%BF%CF%85%CF%80%CF%8C%CE%BD%CE%B9-%CF%80%CF%81%CE%BF%CF%83%CF%86%CE%BF%CF%81%CE%AC%CF%82/,Δωροκάρτα και Κουπόνι Προσφοράς Archives - ENABLOG,Δωροκάρτα και Κουπόνι Προσφοράς · Επιχειρήσεις εστίασης: 4 συμβουλές για αποδοτική διαχείριση του Facebook · Χρειάζεστε Βοήθεια; · Σχετικά με την ...,"site:.gr ""food"" ""δωροκάρτα""",5,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,unsafe_subdomain
100,blog.nosh.ng,Five Of The Most Popular Gift Card Types Available In Sweden,https://blog.nosh.ng/popular-gift-cards-available-sweden,Five Of The Most Popular Gift Card Types Available In Sweden,"Ahlens Gift Card is issued by a famous retail store in Sweden. They are well known for diverse home products, fashion, media, and beauty products. An Ahlens ...","""Sweden"" beauty ""gift card"" official",1,data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,unsafe_subdomain
100,brandedboxes.eu,"Custom Gift Card Boxes in Ioannina, Greece | Retail | Branded Boxes",https://brandedboxes.eu/industries/retail/products/gift-card-boxes/greece/ioannina,"Custom Gift Card Boxes in Ioannina, Greece | Retail | Branded Boxes","... Ioannina. Retail · Ioannina, Greece. Custom Gift Card Boxes in Ioannina, Greece. Premium gift card boxes delivered to Ioannina ... Restaurant gift voucher ...","""Ioannina"" ""gift voucher""",1,data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,non_merchant_signal
100,business.giftcardstore.co.uk,Fashion Favourites Gift Card,https://business.giftcardstore.co.uk/Products/2212929,Fashion Favourites Gift Card - Gift Card Store,"... Gift Card. Gift Card. CONTINUE SHOPPING > Gift Cards > Fashion Favourites Gift Card ... UK's top fashion brands, all in one stylish little card. Let them treat ...","""UK"" fashion ""gift card"" official",1,data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,unsafe_subdomain
100,businessinsider.com,"Geneva Offers Tourists Free Gift Cards for Hotels, Around ...",https://www.businessinsider.com/geneva-switzerland-tourists-free-gift-cards-hotels-restaurants-2020-8,"Geneva Offers Tourists Free Gift Cards for Hotels, Around ...",The gift card can be used through December 31 of this year. geneva harbor fountain switzerland. French is the main language spoken in Geneva.,"""Switzerland"" hotel ""gift card"" official",1,data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,known_false_positive_or_reseller
100,businesswire.com,Greece Gift Card and Incentive Card Market Intelligence ...,https://www.businesswire.com/news/home/20240415539994/en/Greece-Gift-Card-and-Incentive-Card-Market-Intelligence-and-Future-Dynamics-2024-Market-will-Increase-from-%24800-Billion-in-2023-to-Reach-%241.1-Billion-by-2028---ResearchAndMarkets.com,Greece Gift Card and Incentive Card Market Intelligence ...,Jewelry; Sporting Goods; Home & Kitchen Accessories & Appliances; Travel; Entertainment & Gaming; Other. Gift Card Spend by Retail Sector (Split ...,"""jewelry"" ""gift card"" Greece",1,data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,known_false_positive_or_reseller
100,buysellvouchers.com,Buy Apple Gift Cards Greece,https://www.buysellvouchers.com/en/products/list/gift-cards-apple/GR/?srsltid=AfmBOoodLz4gEwUbt1wlM50lIg6h66zcvfoUrjk1prsyLR-t_yGBKnnL,Buy Apple Gift Cards Greece,Gaming Entertainment Retail Food Travel Prepaid Sport Electronics Home Beauty Ebooks Mobile Vcc Software Downloads All gift cards. Apple Gift Card Greece.,"""electronics"" ""gift card"" Greece",1,data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,known_false_positive_or_reseller
80,capital.gr,Ηλεκτρονική δωροκάρτα Skroutz: Μια ακόμη υπηρεσία του ...,https://www.capital.gr/market-news/3642201/ilektroniki-dorokarta-skroutz-mia-akomi-upiresia-tou-skroutz-marketplace-gia-kathe-peristasi/,Ηλεκτρονική δωροκάρτα Skroutz: Μια ακόμη υπηρεσία του ...,"Ο χρήστης μπορεί να επιλέξει δωροκάρτα αξίας 20€, 50€, 100€ και 150€, και για την αποστολή της αρκεί απλά να γνωρίζει το email του παραλήπτη. Η ...","""Santorini"" ""δωροκάρτα""",5,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,third_party_skroutz_gift_card
100,cardfly.net,MANGO Greece Gift Card | EUR - CardFly,https://cardfly.net/gift-cards/mango/greece,MANGO Greece Gift Card | EUR - CardFly,Because typing card details twice is nobody's hobby. Download onApp ... gift voucher code.</p> <p>If the order value is lower than the voucher value ...,"""hobby"" ""gift voucher"" Greece",1,data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,known_false_positive_or_reseller
100,cardtonic.com,Top 7 Most Common Gift Cards You Can Buy In Greece,https://cardtonic.com/read/gift-cards-in-greece,Top 7 Most Common Gift Cards You Can Buy In Greece,Top 7 Types of Gift Cards In Greece In 2026 · 1. Amazon Gift Card · 2. Google Play Gift Card · 3. PlayStation Gift Cards · 4. IKEA Gift Cards · 5. Steam Gift Card · 6 ...,"""gift card"" Greece",1,data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,known_false_positive_or_reseller
100,coincards.com,Global Hotel Card Online Gift Card (Electronic Delivery) ...,https://coincards.com/eu/product/global-hotel-card-online-gift-card-electronic-delivery-greece/,Global Hotel Card Online Gift Card (Electronic Delivery) ...,Global Hotel Card Online Gift Card (Electronic Delivery) (Greece). Redeemable in: Greece. Brand: Global Hotel Card Website: https://www.globalhotelcard.com/ ...,"""hotel"" ""gift card"" Greece",1,data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,known_false_positive_or_reseller
100,colnect.com,Greece : Gift Cards [Theme: Furniture | Year: 2007],https://colnect.com/en/gift_cards/list/country/84-Greece/theme/2986-Furniture/year/2007,Greece : Gift Cards [Theme: Furniture | Year: 2007],"Greece : Gift Cards [Theme: Furniture | Year: 2007] : Colnect . Buy ... Gift Card catalog › Gift Cards (Theme: Furniture, Year: 2007). Switch to list ...","""furniture"" ""gift card"" Greece",1,data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,known_false_positive_or_reseller
100,corfutravelco.com,Win a €100 Venetian Well Gift Voucher in Corfu Town — Corfu ...,https://www.corfutravelco.com/travel-guide/win-a-100-venetian-well-gift-voucher-discover-one-of-corfu-towns-most-romantic-restaurants,Win a €100 Venetian Well Gift Voucher in Corfu Town — Corfu ...,"Enter the Corfu Travel Co giveaway for the chance to win a €100 gift voucher for The Venetian Well, one of Corfu Old Town's most romantic restaurants.","""Corfu"" ""gift voucher""",1,data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,non_merchant_signal
100,csqworld.com,Gift Cards Gain Popularity in Spain as Consumers ...,https://www.csqworld.com/gift-cards-gain-popularity-in-spain-as-consumers-embrace-flexible-gifting-and-digital-convenience/,Gift Cards Gain Popularity in Spain as Consumers ...,"Retailers like El Corte Inglés, Amazon.es, and ... gift card sales—solidifying their role as a key component in modern retail strategies across Spain.","""Spain"" retail ""gift card"" official",3,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,third_party_amazon_gift_card
100,ding.com,Germany Gift Cards,https://www.ding.com/gift-cards/germany?srsltid=AfmBOorXG-m4GMV6Rdu_9856ibPDGDU_i99lSEPpjwX5X5_CSxjqSMMN,Germany Gift Cards,Sending a gift card to Germany couldn't be easier with Ding. You to send a Netflix gift card to your loved ones in Germany in seconds. Our online vouchers are ...,"""Germany"" retail ""gift card"" official",3,data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REJECT,third_party_netflix_gift_card
100,discoveringireland.com,Travel Gift Vouchers Ireland | Coupons for travel to Ireland,https://www.discoveringireland.com/gift-vouchers/,Travel Gift Vouchers Ireland | Coupons for travel to Ireland,The Gift Voucher cannot be used to purchase another Gift Voucher. 4. For ... Ireland and indeed in Ireland travel itself! You will also be among the ...,"""Ireland"" travel ""gift voucher"" official",2,data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,non_merchant_signal
100,doctorsim.com,Global Experiences Card Greece Gift Cards,https://www.doctorsim.com/en-us/gr/gift-cards/greece-globalexperiencescard/?srsltid=AfmBOopRSCqhjLXl32U5rw2KH2quk9Uf14qLHbXkjoHaP3nf1K6Jv9yS,Global Experiences Card Greece Gift Cards,"Our 24/7 technical support is ready to assist, ensuring a smooth experience with your gift card. No need to sign up to buy a gift card, but if you do ...","""experience"" ""gift card"" Greece",1,data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REJECT,known_false_positive_or_reseller
