score,domain,merchant_name,possible_official_url,title,snippet,query,occurrences,source_files,discovery_statuses,result_bucket,result_reason
100,achilleassotiriou.com,Gift Card 200€ | ACHILLEAS SOTIRIOU,https://www.achilleassotiriou.com/product-page/gift-card-150-1?srsltid=AfmBOoqyPEjjSHUC_JEqXxxrisoFufdvYRnWQsw8UGft92tgMKb3T_Fk,Gift Card 200€ | ACHILLEAS SOTIRIOU,"Gift Card 200€ ... A hair salon gift card offers a luxurious experience. Treat yourself or a loved one to expert haircare, styling, and pampering services. It's a ...","""hair salon"" ""gift card"" Greece",5,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card
80,acousticecology.music.uoa.gr,edie parker Gift Card Factory Sale | Bags,https://acousticecology.music.uoa.gr/?a,edie parker Gift Card Factory Sale | Bags,This Item Ships For Free! edie parker Gift Card. Bags / Edie Parker / edie parker Gift Card Factory Sale. 10 More Colors. 4.74.,"site:.gr ""bags"" ""gift card""",8,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear
100,acquoofsweden.com,ACQUO of Sweden,https://acquoofsweden.com/products/acquo-gift-card?srsltid=AfmBOop0hzMNoCCrL8WMAwkN2O-d6_8VvJPl-LtmDuZc1udrL_BTn1K1,ACQUO of Sweden - Gift Card,Give them the gift of choice with a gift card from ACQUO of Sweden. Gift cards are delivered immediately by email and contain instructions to redeem them at ...,"""Sweden"" fashion ""gift card"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card
100,activetravelersingreece.com,Gift Card,https://activetravelersingreece.com/event/giftcard/,Gift Card,Past Events · Inspire me · Giftcard · Custom Trips; Workout Team; Active Travelers ... Πληροφορίες για τη Δωροκάρτα. Κόστος: 15€ / 35€ / 50€ / 60€ / 80€ / 150 ...,"""events"" ""δωροκάρτα"" Greece",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear
85,adelco-eshop.gr,Adelco Eshop,https://adelco-eshop.gr/index.php?route,Gift Cards,Υπάρχει η Εύκολη Λύση – αγοράστε εύκολα και γρήγορα Ηλεκτρονική Δωροκάρτα με ... experience targeted ads for your interests. Marketing and Retargeting.,"site:.gr ""experience"" ""δωροκάρτα""",8,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,greek_brand_coherent_direct_gift_card
100,adolfodominguez.com,Gift Card | AD Portugal,https://www.adolfodominguez.com/en-pt/gift-card-199990000300.html,Gift Card | AD Portugal,"We think that one gift is enough. Choose the value of your gift card: €50, €100 or €200. Send it by email to whoever you want. Enjoy the good choice.","""Portugal"" fashion ""gift card"" official",4,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,non_greek_brand_coherence_unclear
80,adventurejunkies.gr,Δωροκάρτα 90€ - Adventure Junkies | Ride - Hike - Camp,https://www.adventurejunkies.gr/product/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-90e/?srsltid=AfmBOooP4o3COPGY61u2V9iXNihOJXGF_hMLUvIWDbO6JOLFzv2kIsDH,Δωροκάρτα 90€ - Adventure Junkies | Ride - Hike - Camp,Adventure Junkies | Ride ... Adventure Junkies | Ride - Hike - Camp ... Δωροκάρτα 90€. Home. /. Κατάστημα. /. Δωροκάρτα 90€ ...,"site:.gr ""adventure"" ""δωροκάρτα""",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,SECOND_PASS_SAFE,greek_brand_coherent_direct_gift_card
100,aesthet.com,aesthet.com,https://www.aesthet.com/el/gift-cards-2/?srsltid=AfmBOoohgm8UHEW0EmfgEwmt4H_XYhiuayAVZxRmbavrgsxRnzhd-GHD,Gift Cards - aesthet.com,Contessina Jewelry · Costarellos · Cristina Beautiful Life · Cutcuutur · Danai ... Κάντε χαρούμενους τους αγαπημένους σας με μια δωροκάρτα Aesthet! Από (OΝ/ΜΟ) ...,"""Athens"" ""jewelry"" ""δωροκάρτα""",2,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv,,SECOND_PASS_SAFE,non_greek_brand_coherent_direct_gift_card
100,affine-atelier.com,AFFINÉ Gift Card | Hand-Blown Glass Lighting,https://affine-atelier.com/products/gift-card-affine?srsltid=AfmBOoo9pOKbtjAH3qtgEkfeW5cO62OineDHeWLZgrspYcdfkt4ny2S7,AFFINÉ Gift Card | Hand-Blown Glass Lighting,"Give the gift of timeless design. The Affiné Gift Card can be redeemed on any piece in our hand-blown lighting collection, sent digitally by email.","""lighting"" ""gift card"" Greece",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear
85,afit.gr,Αγοράστε μία Δωροεπιταγή,https://afit.gr/index.php?route,Αγοράστε μία Δωροεπιταγή,Αυτή η δωροεπιταγή θα αποσταλεί μέ e-mail στον παραλήπτη αφού ... Το Afit.gr δημιουργήθηκε από την εμπειρία της Power Force στον χώρο του fitness ...,"site:.gr ""fitness"" ""δωροεπιταγή""",2,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv,,REVIEW,greek_domain_brand_coherence_unclear
100,agorakifissia.com,Gift cards,https://agorakifissia.com/gift-cards/,Gift cards,"What is the difference between an e-Gift Card and physical Gift Card? A ... Argyropoylou 10, Kifisia 145 62, Attica, Greece. VAT: 033240915. GEMI ...","""Kifisia"" ""garden"" ""gift card""",1,data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear
100,agramada.com,Buy your Gift Card,https://www.agramada.com/book-gift-card,Buy your Gift Card,Agramada Hotel. Languages. GR · EN · Press · Feedback Form · Contact Us ... Buy your Gift Card. 0. Your cart. ×. Make a reservation · Reservation ...,"""hotel"" ""gift card"" Greece",5,data\discovery\mass-harvest-v5\clean-v5.2\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,non_greek_brand_coherence_unclear
