status,giftCardId,merchantName,giftCardTitle,categorySlug,occasionSlug,relevance,reason,ruleId
SAFE,cmta1j85q00g2q8iyvsncmagm,Patistascosmetics,Patistascosmetics Gift Card,beauty,mothers-day,82,,semantic-category-v8:beauty:mothers-day
SAFE,cmta1j85q00g2q8iyvsncmagm,Patistascosmetics,Patistascosmetics Gift Card,beauty,just-because,78,,semantic-category-v8:beauty:just-because
SAFE,cmta1j8og00g4q8iyvg84dauk,Pethellas,Δωροκάρτα,pets,just-because,82,,semantic-category-v8:pets:just-because
SAFE,cmta1j94w00g6q8iy1z0e6n4p,Petiteboutique,GIFT CARD ΔΩΡΟΕΠΙΤΑΓΗ – P❤️B petite boutique,fashion,birthday,92,,semantic-category-v8:fashion:birthday
SAFE,cmta1j94w00g6q8iy1z0e6n4p,Petiteboutique,GIFT CARD ΔΩΡΟΕΠΙΤΑΓΗ – P❤️B petite boutique,fashion,christmas,86,,semantic-category-v8:fashion:christmas
SAFE,cmta1j94w00g6q8iy1z0e6n4p,Petiteboutique,GIFT CARD ΔΩΡΟΕΠΙΤΑΓΗ – P❤️B petite boutique,fashion,just-because,78,,semantic-category-v8:fashion:just-because
SAFE,cmta1j9kr00g8q8iytr87lk32,Petvet24,Δωροκάρτα (Gift Card),pets,just-because,82,,semantic-category-v8:pets:just-because
SAFE,cmta1ja1u00gaq8iypniunt0y,Pezzetta,Pezzetta eGift Card,home,wedding,88,,semantic-category-v8:home:wedding
SAFE,cmta1ja1u00gaq8iypniunt0y,Pezzetta,Pezzetta eGift Card,home,christmas,84,,semantic-category-v8:home:christmas
SAFE,cmta1ja1u00gaq8iypniunt0y,Pezzetta,Pezzetta eGift Card,home,just-because,76,,semantic-category-v8:home:just-because
SAFE,cmta1jay200geq8iyzdfxuwo3,Pleasurefashion,Δωροκάρτα 30 Ευρώ - Pleasure Fashion,fashion,birthday,92,,semantic-category-v8:fashion:birthday
SAFE,cmta1jay200geq8iyzdfxuwo3,Pleasurefashion,Δωροκάρτα 30 Ευρώ - Pleasure Fashion,fashion,christmas,86,,semantic-category-v8:fashion:christmas
SAFE,cmta1jay200geq8iyzdfxuwo3,Pleasurefashion,Δωροκάρτα 30 Ευρώ - Pleasure Fashion,fashion,just-because,78,,semantic-category-v8:fashion:just-because
SAFE,cmta1jbe500ggq8iyku41w6hi,Pocolocojewellery,Δωροκάρτα - PocoLoco Jewellery #1 Επιλογή για Piercing,jewelry-watches,birthday,94,,semantic-category-v8:jewelry-watches:birthday
SAFE,cmta1jbe500ggq8iyku41w6hi,Pocolocojewellery,Δωροκάρτα - PocoLoco Jewellery #1 Επιλογή για Piercing,jewelry-watches,anniversary,94,,semantic-category-v8:jewelry-watches:anniversary
SAFE,cmta1jbe500ggq8iyku41w6hi,Pocolocojewellery,Δωροκάρτα - PocoLoco Jewellery #1 Επιλογή για Piercing,jewelry-watches,wedding,88,,semantic-category-v8:jewelry-watches:wedding
SAFE,cmta1jbe500ggq8iyku41w6hi,Pocolocojewellery,Δωροκάρτα - PocoLoco Jewellery #1 Επιλογή για Piercing,jewelry-watches,valentines,92,,semantic-category-v8:jewelry-watches:valentines
SAFE,cmta1jbe500ggq8iyku41w6hi,Pocolocojewellery,Δωροκάρτα - PocoLoco Jewellery #1 Επιλογή για Piercing,jewelry-watches,christmas,88,,semantic-category-v8:jewelry-watches:christmas
SAFE,cmta1jbve00giq8iy0kcyt5ns,Prasinoselefantas,Ψηφιακή Κάρτα Δώρου egift card,home,wedding,88,,semantic-category-v8:home:wedding
SAFE,cmta1jbve00giq8iy0kcyt5ns,Prasinoselefantas,Ψηφιακή Κάρτα Δώρου egift card,home,christmas,84,,semantic-category-v8:home:christmas
SAFE,cmta1jbve00giq8iy0kcyt5ns,Prasinoselefantas,Ψηφιακή Κάρτα Δώρου egift card,home,just-because,76,,semantic-category-v8:home:just-because
SAFE,cmta1jccn00gkq8iyko4bp2k8,Psomiadishome,Δωροκάρτα - giftcard,home,wedding,88,,semantic-category-v8:home:wedding
