domain,merchantName,title,possibleOfficialUrl,score,occurrences,reason,action
latravel.gr,Travel Gift Voucher,Travel Gift Voucher,https://www.latravel.gr/gift-voucher/,130,3,,QUEUE_NEW
lookshop.gr,Super Dad,Δωροκάρτα Super Dad,https://lookshop.gr/giftcard2.html,130,3,,QUEUE_NEW
manicurious.gr,Manicurious,GIFT CARD,https://www.manicurious.gr/gift-card,130,3,,QUEUE_NEW
melissinos-sandals.gr,Melissinos Sandals,Gift Voucher - 55,http://www.melissinos-sandals.gr/giftvouchers/gift-card-55-detail,130,5,,QUEUE_NEW
mixandmatch.gr,DIGITAL GIFT CARD,DIGITAL GIFT CARD,https://mixandmatch.gr/product/digital-gift-card/,130,5,,QUEUE_NEW
mouyer.gr,Αρχεία - Παιδικά Παπούτσια Μούγερ,GIFT CARDS Αρχεία - Παιδικά Παπούτσια Μούγερ,https://www.mouyer.gr/en/product-category/gift-cards/,130,3,,QUEUE_NEW
mrandmrsspa.gr,Mr & Mrs Spa,Δωροκάρτα - Mr & Mrs Spa | Wellness Club,https://mrandmrsspa.gr/product-category/dorokarta-gift-voucher/,130,8,,QUEUE_NEW
myconianambassador.gr,Ambassador Mykonos,Gift Cards | Ambassador Mykonos,https://www.myconianambassador.gr/gift-cards/,130,5,,QUEUE_NEW
nirvana-massage.gr,Massage Gift Vouchers in Chania,Massage Gift Vouchers in Chania | The Perfect Wellness Gift,https://www.nirvana-massage.gr/gift-vouchers/,130,5,,QUEUE_NEW
northandsouthjewelry.gr,North & South jewelry gift card,North & South jewelry gift card,https://www.northandsouthjewelry.gr/products/north-south-jewelry-gift-card,130,5,,QUEUE_NEW
nurnco.gr,Nur and Co,Δωροκάρτες - Nur and Co,https://nurnco.gr/products/dorokartes,130,3,,QUEUE_NEW
omniawellness.gr,Omnia Welness,Gift Cards – Omnia Welness – Massage & SPA in Kefalonia,https://www.omniawellness.gr/gift-cards/,130,5,,QUEUE_NEW
orloffspa.gr,Ιδέες για Δώρο Σπα,Ιδέες για Δώρο Σπα - Δωροεπιταγή Σπα | Orloff Day Spa,https://www.orloffspa.gr/gift-vouchers/,130,3,,QUEUE_NEW
oxygenplus.gr,Luxurious Day Spa Gift Card,Luxurious Day Spa Gift Card,https://oxygenplus.gr/en/product/luxurious-giftcard/,130,5,,QUEUE_NEW
pacoartcenter.gr,Paco Δωροκάρτες από €10.00,Paco Δωροκάρτες από €10.00,https://www.pacoartcenter.gr/el/gift-card.html,130,5,,QUEUE_NEW
pavoneshoes.gr,s,Gift Cards,https://pavoneshoes.gr/en/gift-cards,130,3,,QUEUE_NEW
