v4_score,domain,merchant_name,possible_official_url,title,snippet,query,occurrences,source_files,discovery_statuses,result_bucket,result_reason,v4_bucket,v4_reason,v4_1_bucket,v4_1_reason
100,botilia.gr,Κάρτα Δώρου 50,https://www.botilia.gr/p/dwra/Botilia-gift-cart-50?srsltid,Κάρτα Δώρου 50,"Μόνο μία δωροκάρτα κάθε φορά μπορεί να χρησιμοποιηθεί για κάθε παραγγελία. Μετά την αγορά της δωροκάρτας, θα σας σταλλεί με email η δωροκάρτα ... WINE ...","site:.gr ""wine"" ""δωροκάρτα""",8,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_snippet|repeated_source|multi_source,MANUAL,gift_title_but_url_not_direct
100,davosoutdoor.gr,Αγοράστε μία Δωροεπιταγή,https://davosoutdoor.gr/index.php?route,Αγοράστε μία Δωροεπιταγή,Η ηλεκτρονική δωροκάρτα δεν εξαργυρώνεται με μετρητά. Η Davos Outdoor δεν ευθύνεται σε καμία περίπτωση για την απώλεια ή την κλοπή της ηλεκτρονικής δωροκάρτας.,"site:.gr ""outdoor"" ""δωροκάρτα""",8,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_snippet|repeated_source|multi_source,MANUAL,gift_title_but_url_not_direct
100,dexter.com.gr,Αγοράστε μία Δωροεπιταγή,https://www.dexter.com.gr/index.php?route,Αγοράστε μία Δωροεπιταγή,Αγοράστε μία Δωροεπιταγή. Αυτή η δωροεπιταγή θα αποσταλεί μέ e-mail στον παραλήπτη αφού ολοκληρωθεί ή πληρωμή σας. Όνομα παραλήπτη. E-mail παραλήπτη.,"site:.com.gr ""δωροεπιταγή""",3,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_snippet|repeated_source|multi_source,MANUAL,gift_title_but_url_not_direct
100,etheras-toys.gr,Etheras,https://etheras-toys.gr/product/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-etheras/?srsltid=AfmBOoql00OGH7cZaSMC_H0rBs2vHxsG-eGAbIfgcMCCPA902H5n-rGR,Δωροκάρτα Etheras,"Etheras Toys > Προϊόντα > Δωροκάρτα Etheras.. Δωροκάρτα Etheras. 15,00 € – 150,00 € Price range: 15,00 € through 150,00 €. Ποσό.","site:.gr ""toys"" ""δωροκάρτα""",8,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_snippet|repeated_source|multi_source,MANUAL,gift_title_but_url_not_direct
100,eworkshop.gr,Δωροκάρτα - Work Shop - Workshop,https://eworkshop.gr/product/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1/,Δωροκάρτα - Work Shop - Workshop,Δε μπορείτε να βρείτε το τέλειο δώρο; H δωροκάρτα WORKSHOP είναι το ιδανικό ΔΩΡΟ για κάθε περίσταση ... Smart Tools · Φαρμακεία · Φακοί · Εξειδικευμένα Αξεσουάρ.,"site:.gr ""tools"" ""δωροκάρτα""",5,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_snippet|repeated_source|multi_source,MANUAL,gift_title_but_url_not_direct
100,faceyogaforall.gr,Κάρτα Δώρου Face Yoga €50,https://faceyogaforall.gr/product/%CE%BA%CE%AC%CF%81%CF%84%CE%B1-%CE%B4%CF%8E%CF%81%CE%BF%CF%85-face-yoga-e50/,Κάρτα Δώρου Face Yoga €50,"Κάρτα Δώρου Face Yoga €50 · Συμπληρώστε τα απαιτούμενα πεδία (αποστολέα, μήνυμα, email παραλήπτη), ολοκληρώστε την αγορά σας και η Gift Card θα σταλεί ...","""yoga"" ""gift card"" Greece",6,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_snippet|repeated_source|multi_source,MANUAL,gift_title_but_url_not_direct
100,frenchie.gr,Δωροεπιταγή 100€,https://frenchie.gr/%CE%B4%CF%89%CF%81%CE%BF%CE%B5%CF%80%CE%B9%CF%84%CE%B1%CE%B3%CE%B5%CF%82/704-dwroepitagi100.html,Δωροεπιταγή 100€,Δωροεπιταγή 100€ ... Προσφέρετε στα αγαπημένα σας πρόσωπα δωροεπιταγή για να τους μεταδώσετετε τη χαρά που νιώθετε όταν ανοίγετε τις παραγγελίες της Frenchie !!!,"""δωροεπιταγή""",5,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_snippet|repeated_source|multi_source,MANUAL,gift_title_but_url_not_direct
100,glyfadasaltcave.com.gr,Δωροεπιταγες: Δωροεπιταγή Αξίας 90€,https://www.glyfadasaltcave.com.gr/index.php/e-shop/doroepitages/doroepitagi-aksias-90-detail,Δωροεπιταγες: Δωροεπιταγή Αξίας 90€,Δωροεπιταγή Αξίας 90€ Δωροεπιταγες Κάντε στους αγαπημένους σας δώρο συνεδρίες-υπηρεσίες αναζωογόνησης και ευεξίας!Διάρκεια δωροεπιταγής από την ημέρα ...,"site:.com.gr ""δωροεπιταγή""",3,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_snippet|repeated_source|multi_source,MANUAL,gift_title_but_url_not_direct
100,green-organic.gr,αξίας 30 ευρώ,https://green-organic.gr/product/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1/,Δωροκάρτα αξίας 30 ευρώ,"δωροκάρτα. HomeΕίδη διακόσμησηςplant gifts- plant gift cardΔωροκάρτα αξίας 30 ευρώ. Δωροκάρτα αξίας 30 ευρώ. 30,00 €. +. Δωροκάρτα αξίας 30 ευρώ ποσότητα -.","site:.gr ""gifts"" ""δωροκάρτα""",7,data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_snippet|repeated_source|multi_source,MANUAL,gift_title_but_url_not_direct
100,hunting.com.gr,Κυνήγι - Outdoor,https://www.hunting.com.gr/index.php?route,Δωροεπιταγή | Κυνήγι - Outdoor,Αρχική · Δωροεπιταγή. Δωροεπιταγή. Δωροεπιταγή. Δείτε το κατάστημα μας : Λογαριασμός. O Λογαριασμός μου · Ιστορικό Παραγγελιών · Λίστα Επιθυμιών (0) ...,"site:.com.gr ""δωροεπιταγή""",3,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_snippet|repeated_source|multi_source,MANUAL,gift_title_but_url_not_direct
