v4_score,domain,merchant_name,possible_official_url,title,snippet,query,occurrences,source_files,discovery_statuses,result_bucket,result_reason,v4_bucket,v4_reason,v4_1_bucket,v4_1_reason
130,didocosmetics.gr,Archives,https://www.didocosmetics.gr/product-category/proionta/dwrokarta/,Δωροκάρτα Archives,Dido Cosmetics · 0 €0.00 · Αρχική; Μακιγιάζ. Πρόσωπο · Ντεμακιγιάζ ... Κατηγορία: Δωροκάρτα. Home / Eshop / Προϊόντα / Δωροκάρτα. €30.00 απομένουν ...,"site:.gr ""cosmetics"" ""δωροκάρτα""",8,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source|multi_source,AUTO_SAFE_STRICT,greek_domain_direct_url_and_title
130,dimidistours.gr,my travel gift card,https://dimidistours.gr/my-travel-gift-card-%CE%B4%CF%89%CF%81%CE%BF%CE%B5%CF%80%CE%B9%CF%84%CE%B1%CE%B3%CE%AE-t275.html,my travel gift card - Δωροεπιταγή,Δημιουργήστε μια travel gift card - Δωροεπιταγή επιλεγοντας το ποσό που εσεις επιθυμείτε και αφήστε να τη χρησιμοποιήσουν μέσα σε ένα χρόνο με το μέσο και το ...,"site:.gr ""travel"" ""gift card""",5,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source|multi_source,AUTO_SAFE_STRICT,greek_domain_direct_url_and_title
130,easlanidis.gr,Δωροκάρτα,https://www.easlanidis.gr/gift-cards,Δωροκάρτα,Ήχος - Home Cinema. Ήχος - Home Cinema; Sounbars · Mini HiFi · Ηχεία All in One ... Δωροκάρτα. Το τέλειο δώρο για κάθε περίσταση! Η ηλεκτρονική δωροκάρτα ...,"site:.gr ""cinema"" ""δωροκάρτα""",3,data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source|multi_source,AUTO_SAFE_STRICT,greek_domain_direct_url_and_title
130,edenred.gr,Ticket Compliments,https://www.edenred.gr/etaireies/ticket-compliments-gift-card,Δωροκάρτα Ticket Compliments,Χαρίστε ένα έξυπνο δώρο στους ανθρώπους σας με τη δωροκάρτα Ticket Compliments. Ανακαλύψτε τη δωροκάρτα ... Ticket Restaurant · MyBenefits · Spendeo · Ticket ...,"site:.gr ""restaurant"" ""δωροκάρτα""",5,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source|multi_source,AUTO_SAFE_STRICT,greek_domain_direct_url_and_title
130,eroscandles.gr,Έρως Candles,https://eroscandles.gr/product/dorokarta/,Δωροκάρτα - Έρως Candles,Κωδικός προϊόντος: Μ/Δ Κατηγορία: Gift Card. Περιγραφή; Αξιολογήσεις (0). Το τέλειο δώρο για τους ... Home Decor Toggle child menu. Αρωματιστές · Gift Card.,"site:.gr ""decor"" ""gift card""",8,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source|multi_source,AUTO_SAFE_STRICT,greek_domain_direct_url_and_title
130,eshop.handospa.gr,Product categories,https://eshop.handospa.gr/product-category/gift-cards,Gift Cards | Product categories,100€ Gift Card. 100 € per gift card. Select number of gift cards. 100 ... Hando Spa will remain closed for the rest of today due to a minor technical ...,"""Mykonos"" ""spa"" ""gift card""",3,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source|multi_source,AUTO_SAFE_STRICT,greek_domain_direct_url_and_title
130,fagottobooks.gr,αξίας 40 ευρώ,https://fagottobooks.gr/en/6005-dorokarta-axias-40-eyro.html,Δωροκάρτα αξίας 40 ευρώ,Με τη δωροκάρτα αυτή δίνετε στα αγαπημένα σας πρόσωπα τα είδη που πραγματικά επιθυμούν. Η δωροκάρτα μπορεί να χρησιμοποιηθεί τόσο για online αγορές στο ...,"site:.gr ""books"" ""δωροκάρτα""",7,data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source|multi_source,AUTO_SAFE_STRICT,greek_domain_direct_url_and_title
130,feedmepetshop.gr,/ Giftcard 25€ - Feed Me,https://www.feedmepetshop.gr/%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1-giftcard-25e/,Δωροκάρτα / Giftcard 25€ - Feed Me,"Δωροκάρτα / Giftcard 25€. 25,00 €. Άμεση αποστολή κουπονιού με email ... Pet Shop Θεσσαλονίκη. maestro mastercard visa sc_62x34 vbv. Μενού. Pet Shop - Feed Me.","site:.gr ""pet shop"" ""δωροκάρτα""",5,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source|multi_source,AUTO_SAFE_STRICT,greek_domain_direct_url_and_title
130,felicia-concept.gr,Greek Designers Store,https://felicia-concept.gr/product/gift-card/,Gift Card | Greek Designers Store,Shop the perfect present with a Felicia Concept Store Gift Card. Let your loved ones choose from elegant fashion and lifestyle products.,"""Crete"" ""fashion"" ""gift card""",3,data\discovery\focused-harvest-v7\clean-v7\review.csv | data\discovery\focused-harvest-v7-run1-backup\clean-v7\review.csv | data\discovery\mega-harvest-v6\clean-v6\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source|multi_source,AUTO_SAFE_STRICT,greek_domain_direct_url_and_title
130,femmefatale.gr,Δωροκάρτα,https://femmefatale.gr/product-category/dorokarta/,Δωροκάρτα,Femme Fatale Thessaloniki.. Skip to content ... Δωροκάρτα. Αρχική σελίδα / Δωροκάρτα. Δωροκάρτα. Προβάλλονται όλα - 6 ...,"""Thessaloniki"" ""δωροκάρτα""",5,data\discovery\mass-harvest-v5\clean-v5.1\review.csv | data\discovery\mass-harvest-v5\clean-v5.2\manual-review.csv | data\discovery\mass-harvest-v5\clean-v5.3\global-review.csv | data\discovery\mass-harvest-v5\clean-v5.4\review.csv | data\discovery\mass-harvest-v5\clean-v5.5\review.csv,,REVIEW,greek_domain_brand_coherence_unclear,AUTO_SAFE,greek_tld|gift_title|gift_url|gift_snippet|repeated_source|multi_source,AUTO_SAFE_STRICT,greek_domain_direct_url_and_title
